model,method,split,tag,jobid,forget_output_collapsed,collapsed_before_high_fq,forget_collapse_votes,forget_collapse_metrics,forget_quality,model_utility,mu_low,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_truth_ratio,retain_side_low,retain_low_metrics,source_file,summary_path,extraction_strength,fq_high,privleak,raw_dir,run_dir
Llama-2-7b-chat-hf,GradAscent,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,1.0635896769518578e-239,0.0,True,8.913589466646946e-43,0.003936809747043206,2.2106574761017014e-32,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradAscent_smoke_64966/evals/TOFU_SUMMARY.json,0.026895808835135718,False,14.714723892722786,tofu_Llama-2-7b-chat-hf_forget10_GradAscent_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradAscent_smoke_64966
Llama-2-7b-chat-hf,GradDiff,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,1.8016102781582506e-229,0.5808003726124656,False,3.703186695136049e-33,0.005371964673611083,1.457765238227206e-07,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradDiff_smoke_64966/evals/TOFU_SUMMARY.json,0.026895808835135718,False,63.04403206863436,tofu_Llama-2-7b-chat-hf_forget10_GradDiff_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradDiff_smoke_64966
Llama-2-7b-chat-hf,NPO,forget10,smoke,64966,False,False,0,,0.415788823500893,0.5367054571085216,False,0.12194691103875811,0.2543455376260504,0.7261864091452054,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_NPO_smoke_64966/evals/TOFU_SUMMARY.json,0.06416902234257071,False,32.87069588695004,tofu_Llama-2-7b-chat-hf_forget10_NPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_NPO_smoke_64966
Llama-2-7b-chat-hf,SimNPO,forget10,smoke,64966,False,False,0,,5.805666105234786e-14,0.6020949144125645,False,0.4913602493703365,0.4912174694644277,0.5784671131802342,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_SimNPO_smoke_64966/evals/TOFU_SUMMARY.json,0.19371598465096249,False,-91.95581505231377,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_SimNPO_smoke_64966
Llama-3.1-8B-Instruct,GradAscent,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,1.0635896769518578e-239,0.0,True,0.0,0.0,3.2318045728377025e-48,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_GradAscent_smoke_64966/evals/TOFU_SUMMARY.json,0.03250892997513522,False,-9.119461975983477,tofu_Llama-3.1-8B-Instruct_forget10_GradAscent_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_GradAscent_smoke_64966
Llama-3.1-8B-Instruct,GradDiff,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,4.31064496610447e-223,0.6094609871478666,False,7.838955440320206e-10,0.003052083333333333,0.00032172033925787044,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_GradDiff_smoke_64966/evals/TOFU_SUMMARY.json,0.03250892997513522,False,61.32307567221391,tofu_Llama-3.1-8B-Instruct_forget10_GradDiff_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_GradDiff_smoke_64966
Llama-3.1-8B-Instruct,NPO,forget10,smoke,64966,False,False,0,,0.06521994354498474,0.6020363859850318,False,0.06806892117782354,0.2917846491609919,0.6287897381933368,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_NPO_smoke_64966/evals/TOFU_SUMMARY.json,0.06845124130871044,False,40.91532395637495,tofu_Llama-3.1-8B-Instruct_forget10_NPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_NPO_smoke_64966
Llama-3.1-8B-Instruct,SimNPO,forget10,smoke,64966,False,False,0,,5.7046977773929285e-15,0.6020167869141597,False,0.4636401028372347,0.4754377587925342,0.5387798814961671,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_SimNPO_smoke_64966/evals/TOFU_SUMMARY.json,0.20481703830355613,False,-94.38585168575518,tofu_Llama-3.1-8B-Instruct_forget10_SimNPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.1-8B-Instruct_forget10_SimNPO_smoke_64966
Llama-3.2-1B-Instruct,GradAscent,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,1.0635896769518578e-239,0.0,True,3.564582861774246e-35,0.0,1.5891990124133958e-25,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_smoke_64966/evals/TOFU_SUMMARY.json,0.03250892997513522,False,-10.868882993117134,tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradAscent_smoke_64966
Llama-3.2-1B-Instruct,GradDiff,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,8.508717415614862e-237,0.35508866435973496,False,7.16764164502144e-45,0.0,1.4193555730676314e-06,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradDiff_smoke_64966/evals/TOFU_SUMMARY.json,0.03250892997513522,False,61.505638669149334,tofu_Llama-3.2-1B-Instruct_forget10_GradDiff_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_GradDiff_smoke_64966
Llama-3.2-1B-Instruct,NPO,forget10,smoke,64966,False,False,0,,0.01260422744087484,0.5237756564057219,False,0.11917590371042025,0.2515383374431895,0.6390048865514522,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_smoke_64966/evals/TOFU_SUMMARY.json,0.07375180612928244,False,0.5355226659860369,tofu_Llama-3.2-1B-Instruct_forget10_NPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_NPO_smoke_64966
Llama-3.2-1B-Instruct,SimNPO,forget10,smoke,64966,False,False,0,,1.4921665744660114e-16,0.5773411428089305,False,0.5795098892226815,0.48306524875413415,0.5186570000381261,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_SimNPO_smoke_64966/evals/TOFU_SUMMARY.json,0.17849773932096757,False,-97.70605979264141,tofu_Llama-3.2-1B-Instruct_forget10_SimNPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-1B-Instruct_forget10_SimNPO_smoke_64966
Llama-3.2-3B-Instruct,GradAscent,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,1.0635896769518578e-239,0.0,True,1.1000855408798823e-40,0.0,1.1764107035364715e-30,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_GradAscent_smoke_64966/evals/TOFU_SUMMARY.json,0.03250892997513522,False,-22.318601409343515,tofu_Llama-3.2-3B-Instruct_forget10_GradAscent_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_GradAscent_smoke_64966
Llama-3.2-3B-Instruct,GradDiff,forget10,smoke,64966,True,True,3,forget_Q_A_Prob;forget_Q_A_ROUGE;forget_truth_ratio,4.31064496610447e-223,0.5737928489511168,False,9.360792120371018e-27,0.0017475334742776604,0.002151153075227552,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_GradDiff_smoke_64966/evals/TOFU_SUMMARY.json,0.03250892997513522,False,63.78783970893092,tofu_Llama-3.2-3B-Instruct_forget10_GradDiff_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_GradDiff_smoke_64966
Llama-3.2-3B-Instruct,NPO,forget10,smoke,64966,False,False,0,,0.02424717195471133,0.5337971000991084,False,0.12475452711805701,0.2489186498898565,0.6840183660965354,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_NPO_smoke_64966/evals/TOFU_SUMMARY.json,0.05967990528689837,False,19.944304055292587,tofu_Llama-3.2-3B-Instruct_forget10_NPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_NPO_smoke_64966
Llama-3.2-3B-Instruct,SimNPO,forget10,smoke,64966,False,False,0,,1.02724452984523e-14,0.6396603572475014,False,0.5612349329143762,0.4922810901620963,0.5255100109259138,False,,/home/zkzhang/unlearning/open-unlearning/legacy_thesis_work/tofu_eval_summary.csv,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_SimNPO_smoke_64966/evals/TOFU_SUMMARY.json,0.20528815526714875,False,-96.53447474039967,tofu_Llama-3.2-3B-Instruct_forget10_SimNPO_smoke_64966,/home/zkzhang/unlearning/open-unlearning/results/unlearn/tofu_Llama-3.2-3B-Instruct_forget10_SimNPO_smoke_64966
