model,method,n_runs,collapsed_before_high_fq_runs,collapsed_runs,forget_Q_A_Prob_max,forget_Q_A_Prob_mean,forget_Q_A_Prob_min,forget_Q_A_ROUGE_max,forget_Q_A_ROUGE_mean,forget_Q_A_ROUGE_min,forget_quality_max,forget_quality_mean,forget_quality_min,forget_truth_ratio_max,forget_truth_ratio_mean,forget_truth_ratio_min,low_mu_runs,model_utility_max,model_utility_mean,model_utility_min
Llama-2-7b-chat-hf,GradAscent,1,1,1,8.913589466646946e-43,8.913589466646946e-43,8.913589466646946e-43,0.003936809747043206,0.003936809747043206,0.003936809747043206,1.0635896769518578e-239,1.0635896769518578e-239,1.0635896769518578e-239,2.2106574761017014e-32,2.2106574761017014e-32,2.2106574761017014e-32,1,0.0,0.0,0.0
Llama-2-7b-chat-hf,GradDiff,1,1,1,3.703186695136049e-33,3.703186695136049e-33,3.703186695136049e-33,0.005371964673611083,0.005371964673611083,0.005371964673611083,1.8016102781582506e-229,1.8016102781582506e-229,1.8016102781582506e-229,1.457765238227206e-07,1.457765238227206e-07,1.457765238227206e-07,0,0.5808003726124656,0.5808003726124656,0.5808003726124656
Llama-2-7b-chat-hf,NPO,1,0,0,0.12194691103875811,0.12194691103875811,0.12194691103875811,0.2543455376260504,0.2543455376260504,0.2543455376260504,0.415788823500893,0.415788823500893,0.415788823500893,0.7261864091452054,0.7261864091452054,0.7261864091452054,0,0.5367054571085216,0.5367054571085216,0.5367054571085216
Llama-2-7b-chat-hf,SimNPO,1,0,0,0.4913602493703365,0.4913602493703365,0.4913602493703365,0.4912174694644277,0.4912174694644277,0.4912174694644277,5.805666105234786e-14,5.805666105234786e-14,5.805666105234786e-14,0.5784671131802342,0.5784671131802342,0.5784671131802342,0,0.6020949144125645,0.6020949144125645,0.6020949144125645
Llama-3.1-8B-Instruct,GradAscent,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0635896769518578e-239,1.0635896769518578e-239,1.0635896769518578e-239,3.2318045728377025e-48,3.2318045728377025e-48,3.2318045728377025e-48,1,0.0,0.0,0.0
Llama-3.1-8B-Instruct,GradDiff,1,1,1,7.838955440320206e-10,7.838955440320206e-10,7.838955440320206e-10,0.003052083333333333,0.003052083333333333,0.003052083333333333,4.31064496610447e-223,4.31064496610447e-223,4.31064496610447e-223,0.00032172033925787044,0.00032172033925787044,0.00032172033925787044,0,0.6094609871478666,0.6094609871478666,0.6094609871478666
Llama-3.1-8B-Instruct,NPO,1,0,0,0.06806892117782354,0.06806892117782354,0.06806892117782354,0.2917846491609919,0.2917846491609919,0.2917846491609919,0.06521994354498474,0.06521994354498474,0.06521994354498474,0.6287897381933368,0.6287897381933368,0.6287897381933368,0,0.6020363859850318,0.6020363859850318,0.6020363859850318
Llama-3.1-8B-Instruct,SimNPO,1,0,0,0.4636401028372347,0.4636401028372347,0.4636401028372347,0.4754377587925342,0.4754377587925342,0.4754377587925342,5.7046977773929285e-15,5.7046977773929285e-15,5.7046977773929285e-15,0.5387798814961671,0.5387798814961671,0.5387798814961671,0,0.6020167869141597,0.6020167869141597,0.6020167869141597
Llama-3.2-1B-Instruct,GradAscent,1,1,1,3.564582861774246e-35,3.564582861774246e-35,3.564582861774246e-35,0.0,0.0,0.0,1.0635896769518578e-239,1.0635896769518578e-239,1.0635896769518578e-239,1.5891990124133958e-25,1.5891990124133958e-25,1.5891990124133958e-25,1,0.0,0.0,0.0
Llama-3.2-1B-Instruct,GradDiff,1,1,1,7.16764164502144e-45,7.16764164502144e-45,7.16764164502144e-45,0.0,0.0,0.0,8.508717415614862e-237,8.508717415614862e-237,8.508717415614862e-237,1.4193555730676314e-06,1.4193555730676314e-06,1.4193555730676314e-06,0,0.35508866435973496,0.35508866435973496,0.35508866435973496
Llama-3.2-1B-Instruct,NPO,1,0,0,0.11917590371042025,0.11917590371042025,0.11917590371042025,0.2515383374431895,0.2515383374431895,0.2515383374431895,0.01260422744087484,0.01260422744087484,0.01260422744087484,0.6390048865514522,0.6390048865514522,0.6390048865514522,0,0.5237756564057219,0.5237756564057219,0.5237756564057219
Llama-3.2-1B-Instruct,SimNPO,1,0,0,0.5795098892226815,0.5795098892226815,0.5795098892226815,0.48306524875413415,0.48306524875413415,0.48306524875413415,1.4921665744660114e-16,1.4921665744660114e-16,1.4921665744660114e-16,0.5186570000381261,0.5186570000381261,0.5186570000381261,0,0.5773411428089305,0.5773411428089305,0.5773411428089305
Llama-3.2-3B-Instruct,GradAscent,1,1,1,1.1000855408798823e-40,1.1000855408798823e-40,1.1000855408798823e-40,0.0,0.0,0.0,1.0635896769518578e-239,1.0635896769518578e-239,1.0635896769518578e-239,1.1764107035364715e-30,1.1764107035364715e-30,1.1764107035364715e-30,1,0.0,0.0,0.0
Llama-3.2-3B-Instruct,GradDiff,1,1,1,9.360792120371018e-27,9.360792120371018e-27,9.360792120371018e-27,0.0017475334742776604,0.0017475334742776604,0.0017475334742776604,4.31064496610447e-223,4.31064496610447e-223,4.31064496610447e-223,0.002151153075227552,0.002151153075227552,0.002151153075227552,0,0.5737928489511168,0.5737928489511168,0.5737928489511168
Llama-3.2-3B-Instruct,NPO,1,0,0,0.12475452711805701,0.12475452711805701,0.12475452711805701,0.2489186498898565,0.2489186498898565,0.2489186498898565,0.02424717195471133,0.02424717195471133,0.02424717195471133,0.6840183660965354,0.6840183660965354,0.6840183660965354,0,0.5337971000991084,0.5337971000991084,0.5337971000991084
Llama-3.2-3B-Instruct,SimNPO,1,0,0,0.5612349329143762,0.5612349329143762,0.5612349329143762,0.4922810901620963,0.4922810901620963,0.4922810901620963,1.02724452984523e-14,1.02724452984523e-14,1.02724452984523e-14,0.5255100109259138,0.5255100109259138,0.5255100109259138,0,0.6396603572475014,0.6396603572475014,0.6396603572475014
