model,forget_split,trainer,run_tag,model_utility,forget_quality,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,privleak,mtime,summary_path,task_name
Llama-2-7b-chat-hf,forget01,NPO,llama2_7b_forget01_four_methods,0.6219293635558283,0.02860307028023343,0.5508255719681708,0.4589599609375,0.5217797814084361,0.22376374472714447,-83.62720401337485,2026-07-08T10:34:55,results/unlearn/tofu_Llama-2-7b-chat-hf_forget01_NPO_llama2_7b_forget01_four_methods/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget01_NPO_llama2_7b_forget01_four_methods
Llama-2-7b-chat-hf,forget10,GradAscent,llama2_7b_forget10_four_methods_2gpu,0.0,1.0635896769518578e-239,4.7877052185340883e-32,0.0,0.003936809747043206,0.026895808835135718,12.395422536778385,2026-07-08T05:39:08,results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradAscent_llama2_7b_forget10_four_methods_2gpu/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget10_GradAscent_llama2_7b_forget10_four_methods_2gpu
Llama-2-7b-chat-hf,forget10,GradDiff,llama2_7b_forget10_NPO_GradDiff_retry4h,0.5475034014363608,4.31064496610447e-223,0.0012622485651092622,1.9735012152004575e-27,0.003811779024349151,0.026895808835135718,63.0419940182337,2026-07-08T12:21:25,results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradDiff_llama2_7b_forget10_NPO_GradDiff_retry4h/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget10_GradDiff_llama2_7b_forget10_NPO_GradDiff_retry4h
Llama-2-7b-chat-hf,forget10,NPO,llama2_7b_forget10_NPO_GradDiff_retry4h,0.529228383138312,0.3670864569817871,0.7226664911717421,0.1304303550720215,0.261328297196578,0.0664875588951404,29.162463182959875,2026-07-08T11:29:03,results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_NPO_llama2_7b_forget10_NPO_GradDiff_retry4h/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget10_NPO_llama2_7b_forget10_NPO_GradDiff_retry4h
Llama-2-7b-chat-hf,forget10,SimNPO,llama2_7b_forget10_four_methods_2gpu,0.6007135536432738,1.4921665744660114e-16,0.5734272874323676,0.5085693359375,0.4938664365804516,0.20264313630173267,-92.74759763296791,2026-07-08T04:55:00,results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_SimNPO_llama2_7b_forget10_four_methods_2gpu/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_llama2_7b_forget10_four_methods_2gpu
Llama-3.2-1B-Instruct,forget01,GradAscent,llama3_2_1b_forget01_noNPO_plusRMU,0.0,1.860340365603627e-23,0.0008973898947952289,7.098590107650765e-15,0.0,0.02905940823391865,33.353010619437455,2026-07-08T12:17:21,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_GradAscent_llama3_2_1b_forget01_noNPO_plusRMU/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_GradAscent_llama3_2_1b_forget01_noNPO_plusRMU
Llama-3.2-1B-Instruct,forget01,GradDiff,llama3_2_1b_forget01_noNPO_plusRMU,0.36647511697444046,0.006760732303569208,0.5297209778610237,0.00014698282141125673,0.1547506781712499,0.03297354964806006,84.6517119084483,2026-07-08T12:44:57,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_GradDiff_llama3_2_1b_forget01_noNPO_plusRMU/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_GradDiff_llama3_2_1b_forget01_noNPO_plusRMU
Llama-3.2-1B-Instruct,forget01,NPO,retry1,0.5385376559886857,0.5786001416508443,0.6412703202959074,0.0776641845703125,0.29050749883738913,0.061437494705733064,53.48288074550499,2026-07-07T21:26:15,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,RMU,llama3_2_1b_forget01_noNPO_plusRMU,0.5642720872388383,0.006760732303569208,0.71796615225258,0.00265183188021183,0.12344287182526315,0.02905940823391865,87.48524201417041,2026-07-08T13:06:22,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_RMU_llama3_2_1b_forget01_noNPO_plusRMU/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_RMU_llama3_2_1b_forget01_noNPO_plusRMU
Llama-3.2-1B-Instruct,forget01,SimNPO,llama3_2_1b_forget01_noNPO_plusRMU,0.5849938901984102,0.02860307028023343,0.5062497631956366,0.586962890625,0.46233599316776813,0.22995908671769377,-93.62455724323502,2026-07-08T11:41:47,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_llama3_2_1b_forget01_noNPO_plusRMU/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_SimNPO_llama3_2_1b_forget01_noNPO_plusRMU
