model,forget_split,trainer,run_tag,result_type,checkpoint,model_utility,forget_quality,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,privleak,mtime,summary_path,task_name
Llama-2-7b-chat-hf,forget10,GradAscent,llama2_7b_forget10_four_methods_2gpu,final,,0.0,1.0635896769518578e-239,4.7877052185340883e-32,0.0,0.003936809747043206,0.026895808835135718,12.395422536778385,2026-07-08T05:39:08,results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_GradAscent_llama2_7b_forget10_four_methods_2gpu/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget10_GradAscent_llama2_7b_forget10_four_methods_2gpu
Llama-2-7b-chat-hf,forget10,SimNPO,llama2_7b_forget10_four_methods_2gpu,final,,0.6007135536432738,1.4921665744660114e-16,0.5734272874323676,0.5085693359375,0.4938664365804516,0.20264313630173267,-92.74759763296791,2026-07-08T04:55:00,results/unlearn/tofu_Llama-2-7b-chat-hf_forget10_SimNPO_llama2_7b_forget10_four_methods_2gpu/evals/TOFU_SUMMARY.json,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_llama2_7b_forget10_four_methods_2gpu
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,0,0.6007089968202051,0.01430154804770646,0.47369942006500076,0.90107421875,0.8649485835256756,0.7239685496628504,-99.43329395996537,2026-07-07T21:09:36,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-0/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,12,0.5470729121695526,0.5786001416508443,0.6260526017596637,0.11668701171875,0.3072606446230944,0.07250854961486894,26.90082644119936,2026-07-07T21:17:21,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-12/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,15,0.5424455407810814,0.5786001416508443,0.6376365380839685,0.0946319580078125,0.2995282084691482,0.06435205094112888,41.629279803234134,2026-07-07T21:19:17,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-15/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,18,0.5390361436548985,0.404587405685253,0.6397724333847539,0.08031005859375,0.2885801063065483,0.061437494705733064,51.375442729374164,2026-07-07T21:21:15,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-18/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,20,0.539860094546928,0.5786001416508443,0.6412590484455964,0.0775909423828125,0.29709415571499426,0.061437494705733064,53.61275087535058,2026-07-07T21:25:02,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-20/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,3,0.5994148875717032,0.006760732303569208,0.47376490969744445,0.87666015625,0.8132273743308541,0.6274403298206771,-99.39787483364384,2026-07-07T21:11:31,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-3/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,6,0.5859465600049099,0.003018184077228396,0.5255583557452668,0.4511962890625,0.4183548112506684,0.18248653926563158,-86.29279809467907,2026-07-07T21:13:29,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-6/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,checkpoint,9,0.5602025894472186,0.16497269950224194,0.5910710367713811,0.22862548828125,0.3722319067432153,0.11888469134973947,-31.056670596258495,2026-07-07T21:15:24,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/checkpoint-9/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget01,NPO,retry1,final,,0.5385376559886857,0.5786001416508443,0.6412703202959074,0.0776641845703125,0.29050749883738913,0.061437494705733064,53.48288074550499,2026-07-07T21:26:15,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget01_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,0,0.6007089968202051,1.4275699621532978e-12,0.4731509411277574,0.885546875,0.82584715613734,0.725318238434125,-99.50203888025376,2026-07-07T21:29:01,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-0/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,104,0.4895452919570152,0.46628639073563594,0.6753217974836203,0.0851495361328125,0.23914797898777132,0.06577405123787808,22.57390997136546,2026-07-07T21:52:59,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-104/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
Llama-3.2-1B-Instruct,forget05,NPO,retry1,checkpoint,117,0.4915390752170747,0.46628639073563594,0.6734693602601157,0.08458824157714843,0.24389398577985574,0.06571498496395436,23.734512229652687,2026-07-07T21:56:12,results/unlearn/tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1/checkpoint-117/evals/TOFU_SUMMARY.json,tofu_Llama-3.2-1B-Instruct_forget05_NPO_retry1
