model,method,split,qa_type,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,CEU,forget,composite,exact_memorization,0.5890107393264771,0.08707467757105,10
Llama-3.2-1B-Instruct,CEU,forget,composite,extraction_strength,0.11698694135765073,0.18294097286173389,10
Llama-3.2-1B-Instruct,CEU,forget,composite,forget_Q_A_Prob,0.13374753519892693,0.052833949759697324,10
Llama-3.2-1B-Instruct,CEU,forget,composite,forget_truth_ratio,0.7315815757133892,0.256031842998119,10
Llama-3.2-1B-Instruct,CEU,forget,relation,exact_memorization,0.7706880688667297,0.14642039220028913,10
Llama-3.2-1B-Instruct,CEU,forget,relation,extraction_strength,0.19156118391412508,0.2008008103968026,10
Llama-3.2-1B-Instruct,CEU,forget,relation,forget_Q_A_Prob,0.3467241764068604,0.09441322899441681,10
Llama-3.2-1B-Instruct,CEU,forget,relation,forget_truth_ratio,1.1214313493277273,0.6144814323415647,10
Llama-3.2-1B-Instruct,CEU,forget,single_fact,exact_memorization,0.7462446630001068,0.15561407251909773,20
Llama-3.2-1B-Instruct,CEU,forget,single_fact,extraction_strength,0.1621884708611795,0.2901509978374133,20
Llama-3.2-1B-Instruct,CEU,forget,single_fact,forget_Q_A_Prob,0.27401691768318415,0.1664958206140151,20
Llama-3.2-1B-Instruct,CEU,forget,single_fact,forget_truth_ratio,1.3172752401042556,1.2084796725089904,20
Llama-3.2-1B-Instruct,CEU,retain,book_to_award,retain_Q_A_Prob,0.7523495290014479,0.08734113197465321,9
Llama-3.2-1B-Instruct,CEU,retain,book_to_award,retain_truth_ratio,0.3873106374244001,0.23992152543153433,9
Llama-3.2-1B-Instruct,CEU,retain,composite,retain_Q_A_Prob,0.6873250040743086,0.14838893733957756,36
Llama-3.2-1B-Instruct,CEU,retain,composite,retain_truth_ratio,0.33961687132791596,0.2368083130757441,36
Llama-3.2-1B-Instruct,CEU,retain,identity_from_book,retain_Q_A_Prob,0.7241049194335938,0.12794481381908174,50
Llama-3.2-1B-Instruct,CEU,retain,identity_from_book,retain_truth_ratio,0.32844450168282485,0.300566853957407,50
Llama-3.2-1B-Instruct,CEU,retain,relation,retain_Q_A_Prob,0.6860651357533181,0.14761666666105597,73
Llama-3.2-1B-Instruct,CEU,retain,relation,retain_truth_ratio,0.3868434522622704,0.28516207284355644,73
Llama-3.2-1B-Instruct,CEU,retain,single_fact,retain_Q_A_Prob,0.6847779824561679,0.1472173709636768,97
Llama-3.2-1B-Instruct,CEU,retain,single_fact,retain_truth_ratio,0.3139560603212242,0.23394151521190185,97
Llama-3.2-1B-Instruct,NPO,forget,composite,exact_memorization,0.8238598585128785,0.052242039732613064,10
Llama-3.2-1B-Instruct,NPO,forget,composite,extraction_strength,0.3350272343979438,0.3363334717097949,10
Llama-3.2-1B-Instruct,NPO,forget,composite,forget_Q_A_Prob,0.15615644082427024,0.15671106434615617,10
Llama-3.2-1B-Instruct,NPO,forget,composite,forget_truth_ratio,1.4657992931991417,0.7576868334421417,10
Llama-3.2-1B-Instruct,NPO,forget,relation,exact_memorization,0.8820198714733124,0.0797323976977763,10
Llama-3.2-1B-Instruct,NPO,forget,relation,extraction_strength,0.44206930324577376,0.32929833183926127,10
Llama-3.2-1B-Instruct,NPO,forget,relation,forget_Q_A_Prob,0.42856269236654043,0.36324690385801994,10
Llama-3.2-1B-Instruct,NPO,forget,relation,forget_truth_ratio,5.951647589500957,9.49242709591235,10
Llama-3.2-1B-Instruct,NPO,forget,single_fact,exact_memorization,0.8280795902013779,0.07126937452982131,20
Llama-3.2-1B-Instruct,NPO,forget,single_fact,extraction_strength,0.3763126327250814,0.2989282730751418,20
Llama-3.2-1B-Instruct,NPO,forget,single_fact,forget_Q_A_Prob,0.2695820158347487,0.2135103609321489,20
Llama-3.2-1B-Instruct,NPO,forget,single_fact,forget_truth_ratio,12.991818686161348,43.33263306937385,20
Llama-3.2-1B-Instruct,NPO,retain,book_to_award,retain_Q_A_Prob,0.8847936193148295,0.1859824695344576,9
Llama-3.2-1B-Instruct,NPO,retain,book_to_award,retain_truth_ratio,0.21825805494529804,0.16485889536955753,9
Llama-3.2-1B-Instruct,NPO,retain,composite,retain_Q_A_Prob,0.843276715113057,0.19848489214165835,36
Llama-3.2-1B-Instruct,NPO,retain,composite,retain_truth_ratio,0.20873795585632918,0.2493774500733145,36
Llama-3.2-1B-Instruct,NPO,retain,identity_from_book,retain_Q_A_Prob,0.869647204875946,0.14190226497984074,50
Llama-3.2-1B-Instruct,NPO,retain,identity_from_book,retain_truth_ratio,0.20691225375228878,0.24174676809816517,50
Llama-3.2-1B-Instruct,NPO,retain,relation,retain_Q_A_Prob,0.8891355501462336,0.1531541271691077,73
Llama-3.2-1B-Instruct,NPO,retain,relation,retain_truth_ratio,0.2468701806247989,0.2384490214079774,73
Llama-3.2-1B-Instruct,NPO,retain,single_fact,retain_Q_A_Prob,0.8843351433572081,0.16611732021296582,97
Llama-3.2-1B-Instruct,NPO,retain,single_fact,retain_truth_ratio,0.1997904258795042,0.18710613192438896,97
Llama-3.2-1B-Instruct,RMU,forget,composite,exact_memorization,0.8282299935817719,0.0653125111786237,10
Llama-3.2-1B-Instruct,RMU,forget,composite,extraction_strength,0.3683605677312771,0.3735428855542793,10
Llama-3.2-1B-Instruct,RMU,forget,composite,forget_Q_A_Prob,0.12690941244363785,0.12581720301133983,10
Llama-3.2-1B-Instruct,RMU,forget,composite,forget_truth_ratio,1.4084469088849025,0.7513193478142083,10
Llama-3.2-1B-Instruct,RMU,forget,relation,exact_memorization,0.9072828412055969,0.07376601012109242,10
Llama-3.2-1B-Instruct,RMU,forget,relation,extraction_strength,0.5556204579733992,0.3364578689970069,10
Llama-3.2-1B-Instruct,RMU,forget,relation,forget_Q_A_Prob,0.4405416030436754,0.36884278461062825,10
Llama-3.2-1B-Instruct,RMU,forget,relation,forget_truth_ratio,5.566924130954893,8.777793920281757,10
Llama-3.2-1B-Instruct,RMU,forget,single_fact,exact_memorization,0.8443330198526382,0.08484960174565492,20
Llama-3.2-1B-Instruct,RMU,forget,single_fact,extraction_strength,0.4499326104845941,0.32440335558601074,20
Llama-3.2-1B-Instruct,RMU,forget,single_fact,forget_Q_A_Prob,0.3409841112792492,0.2447578085430797,20
Llama-3.2-1B-Instruct,RMU,forget,single_fact,forget_truth_ratio,14.929208554577837,52.104109079240644,20
Llama-3.2-1B-Instruct,RMU,retain,book_to_award,retain_Q_A_Prob,0.8918267687161764,0.17001156711210452,9
Llama-3.2-1B-Instruct,RMU,retain,book_to_award,retain_truth_ratio,0.22165585205932836,0.16106583440836278,9
Llama-3.2-1B-Instruct,RMU,retain,composite,retain_Q_A_Prob,0.8613955643441942,0.1836913400636842,36
Llama-3.2-1B-Instruct,RMU,retain,composite,retain_truth_ratio,0.2069668486778841,0.24700983426812248,36
Llama-3.2-1B-Instruct,RMU,retain,identity_from_book,retain_Q_A_Prob,0.8702906131744385,0.14691546962998436,50
Llama-3.2-1B-Instruct,RMU,retain,identity_from_book,retain_truth_ratio,0.21158551135024342,0.2546447591109827,50
Llama-3.2-1B-Instruct,RMU,retain,relation,retain_Q_A_Prob,0.8985745008677652,0.15068579146522681,73
Llama-3.2-1B-Instruct,RMU,retain,relation,retain_truth_ratio,0.24556632954797045,0.2409964396464012,73
Llama-3.2-1B-Instruct,RMU,retain,single_fact,retain_Q_A_Prob,0.8897456068968036,0.16852952995407025,97
Llama-3.2-1B-Instruct,RMU,retain,single_fact,retain_truth_ratio,0.1967592923329639,0.18466771394352935,97
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,composite,exact_memorization,0.9255743324756622,0.05031041885440784,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,composite,extraction_strength,0.5076546070253164,0.474636887247081,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,composite,forget_Q_A_Prob,0.7353391230106354,0.14857021502881587,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,composite,forget_truth_ratio,1.49654992061878,0.7810954546187752,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,relation,exact_memorization,0.974428915977478,0.034783298345247,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,relation,extraction_strength,0.9744289044289044,0.03478331436379671,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,relation,forget_Q_A_Prob,0.9194476008415222,0.06782179865593378,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,relation,forget_truth_ratio,3.907260441305226,4.492015113423929,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,exact_memorization,0.9674482554197311,0.047736229024310496,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,extraction_strength,0.8044699949060414,0.35040193161055827,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,forget_Q_A_Prob,0.890860190987587,0.10745071859936285,20
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,forget_truth_ratio,7.657952962987322,20.413186980668605,20
