model,method,split,qa_type,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_truth_ratio,retain_Q_A_Prob,retain_truth_ratio
Llama-3.2-1B-Instruct,CEU,forget,composite,0.5890107393264771,0.11698694135765073,0.13374753519892693,0.7315815757133892,,
Llama-3.2-1B-Instruct,CEU,forget,relation,0.7706880688667297,0.19156118391412508,0.3467241764068604,1.1214313493277273,,
Llama-3.2-1B-Instruct,CEU,forget,single_fact,0.7462446630001068,0.1621884708611795,0.27401691768318415,1.3172752401042556,,
Llama-3.2-1B-Instruct,CEU,retain,book_to_award,,,,,0.7523495290014479,0.3873106374244001
Llama-3.2-1B-Instruct,CEU,retain,composite,,,,,0.6873250040743086,0.33961687132791596
Llama-3.2-1B-Instruct,CEU,retain,identity_from_book,,,,,0.7241049194335938,0.32844450168282485
Llama-3.2-1B-Instruct,CEU,retain,relation,,,,,0.6860651357533181,0.3868434522622704
Llama-3.2-1B-Instruct,CEU,retain,single_fact,,,,,0.6847779824561679,0.3139560603212242
Llama-3.2-1B-Instruct,NPO,forget,composite,0.8238598585128785,0.3350272343979438,0.15615644082427024,1.4657992931991417,,
Llama-3.2-1B-Instruct,NPO,forget,relation,0.8820198714733124,0.44206930324577376,0.42856269236654043,5.951647589500957,,
Llama-3.2-1B-Instruct,NPO,forget,single_fact,0.8280795902013779,0.3763126327250814,0.2695820158347487,12.991818686161348,,
Llama-3.2-1B-Instruct,NPO,retain,book_to_award,,,,,0.8847936193148295,0.21825805494529804
Llama-3.2-1B-Instruct,NPO,retain,composite,,,,,0.843276715113057,0.20873795585632918
Llama-3.2-1B-Instruct,NPO,retain,identity_from_book,,,,,0.869647204875946,0.20691225375228878
Llama-3.2-1B-Instruct,NPO,retain,relation,,,,,0.8891355501462336,0.2468701806247989
Llama-3.2-1B-Instruct,NPO,retain,single_fact,,,,,0.8843351433572081,0.1997904258795042
Llama-3.2-1B-Instruct,RMU,forget,composite,0.8282299935817719,0.3683605677312771,0.12690941244363785,1.4084469088849025,,
Llama-3.2-1B-Instruct,RMU,forget,relation,0.9072828412055969,0.5556204579733992,0.4405416030436754,5.566924130954893,,
Llama-3.2-1B-Instruct,RMU,forget,single_fact,0.8443330198526382,0.4499326104845941,0.3409841112792492,14.929208554577837,,
Llama-3.2-1B-Instruct,RMU,retain,book_to_award,,,,,0.8918267687161764,0.22165585205932836
Llama-3.2-1B-Instruct,RMU,retain,composite,,,,,0.8613955643441942,0.2069668486778841
Llama-3.2-1B-Instruct,RMU,retain,identity_from_book,,,,,0.8702906131744385,0.21158551135024342
Llama-3.2-1B-Instruct,RMU,retain,relation,,,,,0.8985745008677652,0.24556632954797045
Llama-3.2-1B-Instruct,RMU,retain,single_fact,,,,,0.8897456068968036,0.1967592923329639
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,composite,0.9255743324756622,0.5076546070253164,0.7353391230106354,1.49654992061878,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,relation,0.974428915977478,0.9744289044289044,0.9194476008415222,3.907260441305226,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,single_fact,0.9674482554197311,0.8044699949060414,0.890860190987587,7.657952962987322,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_to_award,,,,,0.992791559961107,0.24903619165784185
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,composite,,,,,0.9649228105942408,0.21770484402424833
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,identity_from_book,,,,,0.9937601733207703,0.22034349844196194
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,relation,,,,,0.9784460957736185,0.2662808298928256
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,single_fact,,,,,0.981210465283738,0.22146550075190513
Llama-3.2-1B-Instruct,SimNPO_sago,forget,composite,0.9643528938293457,0.6163614074712473,0.9073791682720185,1.6551568447431868,,
Llama-3.2-1B-Instruct,SimNPO_sago,forget,relation,1.0,1.0,0.986169308423996,5.229092633505421,,
Llama-3.2-1B-Instruct,SimNPO_sago,forget,single_fact,0.9902962982654572,0.8822222222222222,0.9576445400714875,13.98383836301905,,
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_to_award,,,,,0.9948086937268575,0.24178776514659553
Llama-3.2-1B-Instruct,SimNPO_sago,retain,composite,,,,,0.9740096860461764,0.21201856357348997
Llama-3.2-1B-Instruct,SimNPO_sago,retain,identity_from_book,,,,,0.9946341753005982,0.21861836122475758
Llama-3.2-1B-Instruct,SimNPO_sago,retain,relation,,,,,0.9831954453089465,0.26216485127113337
Llama-3.2-1B-Instruct,SimNPO_sago,retain,single_fact,,,,,0.9846483886856394,0.21447841909140686
