model,method,split,slot,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,CEU,forget,core_themes,exact_memorization,0.8738572239875794,0.0935703287812753,10
Llama-3.2-1B-Instruct,CEU,forget,core_themes,extraction_strength,0.26604162888704613,0.3915641693780694,10
Llama-3.2-1B-Instruct,CEU,forget,core_themes,forget_Q_A_Prob,0.4179778352379799,0.09576229801254761,10
Llama-3.2-1B-Instruct,CEU,forget,core_themes,forget_truth_ratio,1.333785132316142,1.3035637417576842,10
Llama-3.2-1B-Instruct,CEU,forget,genre_and_core_themes,exact_memorization,0.5890107393264771,0.08707467757105,10
Llama-3.2-1B-Instruct,CEU,forget,genre_and_core_themes,extraction_strength,0.11698694135765073,0.18294097286173389,10
Llama-3.2-1B-Instruct,CEU,forget,genre_and_core_themes,forget_Q_A_Prob,0.13374753519892693,0.052833949759697324,10
Llama-3.2-1B-Instruct,CEU,forget,genre_and_core_themes,forget_truth_ratio,0.7315815757133892,0.256031842998119,10
Llama-3.2-1B-Instruct,CEU,forget,representative_work,exact_memorization,0.7706880688667297,0.14642039220028913,10
Llama-3.2-1B-Instruct,CEU,forget,representative_work,extraction_strength,0.19156118391412508,0.2008008103968026,10
Llama-3.2-1B-Instruct,CEU,forget,representative_work,forget_Q_A_Prob,0.3467241764068604,0.09441322899441681,10
Llama-3.2-1B-Instruct,CEU,forget,representative_work,forget_truth_ratio,1.1214313493277273,0.6144814323415647,10
Llama-3.2-1B-Instruct,CEU,forget,writing_style,exact_memorization,0.6186321020126343,0.07859960380438002,10
Llama-3.2-1B-Instruct,CEU,forget,writing_style,extraction_strength,0.05833531283531283,0.02095596459599218,10
Llama-3.2-1B-Instruct,CEU,forget,writing_style,forget_Q_A_Prob,0.13005600012838842,0.057414315100932,10
Llama-3.2-1B-Instruct,CEU,forget,writing_style,forget_truth_ratio,1.3007653478923693,1.1761085488563394,10
Llama-3.2-1B-Instruct,CEU,retain,authored_book,retain_Q_A_Prob,0.7143607985973358,0.12718533564344106,25
Llama-3.2-1B-Instruct,CEU,retain,authored_book,retain_truth_ratio,0.33117719134639684,0.2727239092808867,25
Llama-3.2-1B-Instruct,CEU,retain,award_target_author,retain_Q_A_Prob,0.7538060247898102,0.12915993736007567,4
Llama-3.2-1B-Instruct,CEU,retain,award_target_author,retain_truth_ratio,0.38568087565409603,0.29048382085135477,4
Llama-3.2-1B-Instruct,CEU,retain,award_target_book,retain_Q_A_Prob,0.7237851560115814,0.13368782784676894,10
Llama-3.2-1B-Instruct,CEU,retain,award_target_book,retain_truth_ratio,0.5292868738515989,0.358187927182698,10
Llama-3.2-1B-Instruct,CEU,retain,birth_year,retain_Q_A_Prob,0.7311184075143602,0.11354210282782572,9
Llama-3.2-1B-Instruct,CEU,retain,birth_year,retain_truth_ratio,0.2839456359012973,0.2818948400949736,9
Llama-3.2-1B-Instruct,CEU,retain,birthplace,retain_Q_A_Prob,0.7195823656188117,0.13219191190026872,9
Llama-3.2-1B-Instruct,CEU,retain,birthplace,retain_truth_ratio,0.3521482709862665,0.2510731951653555,9
Llama-3.2-1B-Instruct,CEU,retain,book_award_link,retain_Q_A_Prob,0.6789658516645432,0.1481074416013862,8
Llama-3.2-1B-Instruct,CEU,retain,book_award_link,retain_truth_ratio,0.41721030005598025,0.3431900814674073,8
Llama-3.2-1B-Instruct,CEU,retain,book_theme_link,retain_Q_A_Prob,0.8144558072090149,0.008995991933559266,2
Llama-3.2-1B-Instruct,CEU,retain,book_theme_link,retain_truth_ratio,0.5787820420281109,0.5411179481685066,2
Llama-3.2-1B-Instruct,CEU,retain,book_title,retain_Q_A_Prob,0.7241049194335938,0.12927070222476097,25
Llama-3.2-1B-Instruct,CEU,retain,book_title,retain_truth_ratio,0.32844450168282485,0.3036816195731288,25
Llama-3.2-1B-Instruct,CEU,retain,book_year,retain_Q_A_Prob,0.663528660312295,0.1583190636481991,16
Llama-3.2-1B-Instruct,CEU,retain,book_year,retain_truth_ratio,0.2592949591107727,0.20799761886028215,16
Llama-3.2-1B-Instruct,CEU,retain,father_profession,retain_Q_A_Prob,0.635328299469418,0.19814144566101433,9
Llama-3.2-1B-Instruct,CEU,retain,father_profession,retain_truth_ratio,0.34797391873863753,0.2650970292335597,9
Llama-3.2-1B-Instruct,CEU,retain,full_name,retain_Q_A_Prob,0.7241049194335938,0.12927070222476097,25
Llama-3.2-1B-Instruct,CEU,retain,full_name,retain_truth_ratio,0.32844450168282485,0.3036816195731288,25
Llama-3.2-1B-Instruct,CEU,retain,mother_profession,retain_Q_A_Prob,0.707148962550693,0.11370637826672915,9
Llama-3.2-1B-Instruct,CEU,retain,mother_profession,retain_truth_ratio,0.33573497728136903,0.25331975050460276,9
Llama-3.2-1B-Instruct,CEU,retain,primary_genre,retain_Q_A_Prob,0.7173375719123416,0.15402212571201926,9
Llama-3.2-1B-Instruct,CEU,retain,primary_genre,retain_truth_ratio,0.2775843040036994,0.2516102490065618,9
Llama-3.2-1B-Instruct,CEU,retain,representative_book,retain_Q_A_Prob,0.6506387309895622,0.16967318746740997,18
Llama-3.2-1B-Instruct,CEU,retain,representative_book,retain_truth_ratio,0.2673498738301139,0.10310810271339557,18
Llama-3.2-1B-Instruct,CEU,retain,representative_book_award,retain_Q_A_Prob,0.7230650981267294,0.11911734443664955,18
Llama-3.2-1B-Instruct,CEU,retain,representative_book_award,retain_truth_ratio,0.3857735300520843,0.27918648404590235,18
Llama-3.2-1B-Instruct,CEU,retain,residence_history,retain_Q_A_Prob,0.7173005143801371,0.14962168649777743,9
Llama-3.2-1B-Instruct,CEU,retain,residence_history,retain_truth_ratio,0.3854909021471708,0.30712419884650327,9
Llama-3.2-1B-Instruct,CEU,retain,residence_link,retain_Q_A_Prob,0.6212508690853914,0.16542168029245197,24
Llama-3.2-1B-Instruct,CEU,retain,residence_link,retain_truth_ratio,0.3595543127437241,0.22509641902604002,24
Llama-3.2-1B-Instruct,CEU,retain,selected_award,retain_Q_A_Prob,0.6681768811411328,0.13295882145567148,18
Llama-3.2-1B-Instruct,CEU,retain,selected_award,retain_truth_ratio,0.33046188733317156,0.25445257918977543,18
Llama-3.2-1B-Instruct,CEU,retain,synthetic_contact_token,retain_Q_A_Prob,0.6742992069986131,0.1758746626457522,9
Llama-3.2-1B-Instruct,CEU,retain,synthetic_contact_token,retain_truth_ratio,0.363508371409347,0.2190498862144291,9
Llama-3.2-1B-Instruct,CEU,retain,synthetic_private_id,retain_Q_A_Prob,0.716551211145189,0.12465218609426704,9
Llama-3.2-1B-Instruct,CEU,retain,synthetic_private_id,retain_truth_ratio,0.3550009937693571,0.19924155093344792,9
Llama-3.2-1B-Instruct,NPO,forget,core_themes,exact_memorization,0.8484761595726014,0.06846247175870002,10
Llama-3.2-1B-Instruct,NPO,forget,core_themes,extraction_strength,0.5294705497954472,0.2653467173514291,10
Llama-3.2-1B-Instruct,NPO,forget,core_themes,forget_Q_A_Prob,0.34279498271644115,0.271053258135808,10
Llama-3.2-1B-Instruct,NPO,forget,core_themes,forget_truth_ratio,21.242324678871245,61.27845446115448,10
Llama-3.2-1B-Instruct,NPO,forget,genre_and_core_themes,exact_memorization,0.8238598585128785,0.052242039732613064,10
Llama-3.2-1B-Instruct,NPO,forget,genre_and_core_themes,extraction_strength,0.3350272343979438,0.3363334717097949,10
Llama-3.2-1B-Instruct,NPO,forget,genre_and_core_themes,forget_Q_A_Prob,0.15615644082427024,0.15671106434615617,10
Llama-3.2-1B-Instruct,NPO,forget,genre_and_core_themes,forget_truth_ratio,1.4657992931991417,0.7576868334421417,10
Llama-3.2-1B-Instruct,NPO,forget,representative_work,exact_memorization,0.8820198714733124,0.0797323976977763,10
Llama-3.2-1B-Instruct,NPO,forget,representative_work,extraction_strength,0.44206930324577376,0.32929833183926127,10
Llama-3.2-1B-Instruct,NPO,forget,representative_work,forget_Q_A_Prob,0.42856269236654043,0.36324690385801994,10
Llama-3.2-1B-Instruct,NPO,forget,representative_work,forget_truth_ratio,5.951647589500957,9.49242709591235,10
Llama-3.2-1B-Instruct,NPO,forget,writing_style,exact_memorization,0.8076830208301544,0.07149418000824888,10
Llama-3.2-1B-Instruct,NPO,forget,writing_style,extraction_strength,0.22315471565471565,0.2571158972397835,10
Llama-3.2-1B-Instruct,NPO,forget,writing_style,forget_Q_A_Prob,0.19636904895305635,0.10419811321357735,10
Llama-3.2-1B-Instruct,NPO,forget,writing_style,forget_truth_ratio,4.741312693451453,7.599465425131714,10
Llama-3.2-1B-Instruct,NPO,retain,authored_book,retain_Q_A_Prob,0.8565579247474671,0.1896824554868519,25
Llama-3.2-1B-Instruct,NPO,retain,authored_book,retain_truth_ratio,0.20668523778893536,0.22064414860202286,25
Llama-3.2-1B-Instruct,NPO,retain,award_target_author,retain_Q_A_Prob,0.8891089856624603,0.20756553981163472,4
Llama-3.2-1B-Instruct,NPO,retain,award_target_author,retain_truth_ratio,0.20298071088411004,0.1230482485203373,4
Llama-3.2-1B-Instruct,NPO,retain,award_target_book,retain_Q_A_Prob,0.9261458694934845,0.10823429533986643,10
Llama-3.2-1B-Instruct,NPO,retain,award_target_book,retain_truth_ratio,0.4207257644574224,0.34181225527203596,10
Llama-3.2-1B-Instruct,NPO,retain,birth_year,retain_Q_A_Prob,0.8673634727795919,0.20661347395346255,9
Llama-3.2-1B-Instruct,NPO,retain,birth_year,retain_truth_ratio,0.17826911196958314,0.1922465566656739,9
Llama-3.2-1B-Instruct,NPO,retain,birthplace,retain_Q_A_Prob,0.9272955656051636,0.08476329845474523,9
Llama-3.2-1B-Instruct,NPO,retain,birthplace,retain_truth_ratio,0.2314270270983173,0.2209251336178662,9
Llama-3.2-1B-Instruct,NPO,retain,book_award_link,retain_Q_A_Prob,0.9642585068941116,0.06060764975799378,8
Llama-3.2-1B-Instruct,NPO,retain,book_award_link,retain_truth_ratio,0.27154083414610775,0.26626920112096847,8
Llama-3.2-1B-Instruct,NPO,retain,book_theme_link,retain_Q_A_Prob,0.9818179905414581,0.006726004819611024,2
Llama-3.2-1B-Instruct,NPO,retain,book_theme_link,retain_truth_ratio,0.44897454212834037,0.48267860440991184,2
Llama-3.2-1B-Instruct,NPO,retain,book_title,retain_Q_A_Prob,0.869647204875946,0.14337279404827516,25
Llama-3.2-1B-Instruct,NPO,retain,book_title,retain_truth_ratio,0.20691225375228878,0.24425198286509597,25
Llama-3.2-1B-Instruct,NPO,retain,book_year,retain_Q_A_Prob,0.9225520715117455,0.1204411560268799,16
Llama-3.2-1B-Instruct,NPO,retain,book_year,retain_truth_ratio,0.17897594279660856,0.16744103333879876,16
Llama-3.2-1B-Instruct,NPO,retain,father_profession,retain_Q_A_Prob,0.8987958232561747,0.09860428391500253,9
Llama-3.2-1B-Instruct,NPO,retain,father_profession,retain_truth_ratio,0.24884358208094945,0.2447626318906572,9
Llama-3.2-1B-Instruct,NPO,retain,full_name,retain_Q_A_Prob,0.869647204875946,0.14337279404827516,25
Llama-3.2-1B-Instruct,NPO,retain,full_name,retain_truth_ratio,0.20691225375228878,0.24425198286509597,25
Llama-3.2-1B-Instruct,NPO,retain,mother_profession,retain_Q_A_Prob,0.7874249782827165,0.21636928008269976,9
Llama-3.2-1B-Instruct,NPO,retain,mother_profession,retain_truth_ratio,0.16705520183538375,0.11441962987190422,9
Llama-3.2-1B-Instruct,NPO,retain,primary_genre,retain_Q_A_Prob,0.898741172419654,0.15851644823131072,9
Llama-3.2-1B-Instruct,NPO,retain,primary_genre,retain_truth_ratio,0.15165768270584623,0.1295975436581669,9
Llama-3.2-1B-Instruct,NPO,retain,representative_book,retain_Q_A_Prob,0.8247540460692512,0.22968569152767146,18
Llama-3.2-1B-Instruct,NPO,retain,representative_book,retain_truth_ratio,0.12176594024168806,0.08395843018427661,18
Llama-3.2-1B-Instruct,NPO,retain,representative_book_award,retain_Q_A_Prob,0.8555296725696988,0.2048481196355509,18
Llama-3.2-1B-Instruct,NPO,retain,representative_book_award,retain_truth_ratio,0.2750639121931643,0.2990455842600459,18
Llama-3.2-1B-Instruct,NPO,retain,residence_history,retain_Q_A_Prob,0.8938648932509952,0.20008437842309712,9
Llama-3.2-1B-Instruct,NPO,retain,residence_history,retain_truth_ratio,0.21330833602474214,0.25408709761956966,9
Llama-3.2-1B-Instruct,NPO,retain,residence_link,retain_Q_A_Prob,0.8748895153403282,0.1410318717422438,24
Llama-3.2-1B-Instruct,NPO,retain,residence_link,retain_truth_ratio,0.19853899980628034,0.16234500529224008,24
Llama-3.2-1B-Instruct,NPO,retain,selected_award,retain_Q_A_Prob,0.8554056485493978,0.186715843810652,18
Llama-3.2-1B-Instruct,NPO,retain,selected_award,retain_truth_ratio,0.2252809508791559,0.22062578304731748,18
Llama-3.2-1B-Instruct,NPO,retain,synthetic_contact_token,retain_Q_A_Prob,0.9226595362027487,0.08994870606938243,9
Llama-3.2-1B-Instruct,NPO,retain,synthetic_contact_token,retain_truth_ratio,0.24937812462038852,0.22689608076670298,9
Llama-3.2-1B-Instruct,NPO,retain,synthetic_private_id,retain_Q_A_Prob,0.8814513882001241,0.18328679246221127,9
Llama-3.2-1B-Instruct,NPO,retain,synthetic_private_id,retain_truth_ratio,0.20416656380362894,0.1659717809918944,9
Llama-3.2-1B-Instruct,RMU,forget,core_themes,exact_memorization,0.8577166497707367,0.10338941233786007,10
Llama-3.2-1B-Instruct,RMU,forget,core_themes,extraction_strength,0.6225566591606263,0.2627925481825111,10
Llama-3.2-1B-Instruct,RMU,forget,core_themes,forget_Q_A_Prob,0.4865594252943993,0.26448705574435344,10
Llama-3.2-1B-Instruct,RMU,forget,core_themes,forget_truth_ratio,25.665427159525063,73.70994501497326,10
Llama-3.2-1B-Instruct,RMU,forget,genre_and_core_themes,exact_memorization,0.8282299935817719,0.0653125111786237,10
Llama-3.2-1B-Instruct,RMU,forget,genre_and_core_themes,extraction_strength,0.3683605677312771,0.3735428855542793,10
Llama-3.2-1B-Instruct,RMU,forget,genre_and_core_themes,forget_Q_A_Prob,0.12690941244363785,0.12581720301133983,10
Llama-3.2-1B-Instruct,RMU,forget,genre_and_core_themes,forget_truth_ratio,1.4084469088849025,0.7513193478142083,10
Llama-3.2-1B-Instruct,RMU,forget,representative_work,exact_memorization,0.9072828412055969,0.07376601012109242,10
Llama-3.2-1B-Instruct,RMU,forget,representative_work,extraction_strength,0.5556204579733992,0.3364578689970069,10
Llama-3.2-1B-Instruct,RMU,forget,representative_work,forget_Q_A_Prob,0.4405416030436754,0.36884278461062825,10
Llama-3.2-1B-Instruct,RMU,forget,representative_work,forget_truth_ratio,5.566924130954893,8.777793920281757,10
Llama-3.2-1B-Instruct,RMU,forget,writing_style,exact_memorization,0.8309493899345398,0.06412043976743534,10
Llama-3.2-1B-Instruct,RMU,forget,writing_style,extraction_strength,0.27730856180856184,0.2947678278738842,10
Llama-3.2-1B-Instruct,RMU,forget,writing_style,forget_Q_A_Prob,0.19540879726409913,0.09706655625815865,10
Llama-3.2-1B-Instruct,RMU,forget,writing_style,forget_truth_ratio,4.1929899496306104,6.482401220304135,10
Llama-3.2-1B-Instruct,RMU,retain,authored_book,retain_Q_A_Prob,0.8556627821922302,0.19821146387709937,25
Llama-3.2-1B-Instruct,RMU,retain,authored_book,retain_truth_ratio,0.20423726901587164,0.2201224271727766,25
Llama-3.2-1B-Instruct,RMU,retain,award_target_author,retain_Q_A_Prob,0.9183194786310196,0.1492286646194868,4
Llama-3.2-1B-Instruct,RMU,retain,award_target_author,retain_truth_ratio,0.2037799320323858,0.12538132182649542,4
Llama-3.2-1B-Instruct,RMU,retain,award_target_book,retain_Q_A_Prob,0.9320780813694001,0.12296661282259046,10
Llama-3.2-1B-Instruct,RMU,retain,award_target_book,retain_truth_ratio,0.42077388645291586,0.3470804810205767,10
Llama-3.2-1B-Instruct,RMU,retain,birth_year,retain_Q_A_Prob,0.8588177263736725,0.22291694293717523,9
Llama-3.2-1B-Instruct,RMU,retain,birth_year,retain_truth_ratio,0.17411290929755122,0.18467104415111182,9
Llama-3.2-1B-Instruct,RMU,retain,birthplace,retain_Q_A_Prob,0.9410187204678854,0.07189899575913604,9
Llama-3.2-1B-Instruct,RMU,retain,birthplace,retain_truth_ratio,0.22651344995715295,0.20979022567224553,9
