model,method,split,slot,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_truth_ratio,retain_Q_A_Prob,retain_truth_ratio
Llama-3.2-1B-Instruct,CEU,forget,core_themes,0.8738572239875794,0.26604162888704613,0.4179778352379799,1.333785132316142,,
Llama-3.2-1B-Instruct,CEU,forget,genre_and_core_themes,0.5890107393264771,0.11698694135765073,0.13374753519892693,0.7315815757133892,,
Llama-3.2-1B-Instruct,CEU,forget,representative_work,0.7706880688667297,0.19156118391412508,0.3467241764068604,1.1214313493277273,,
Llama-3.2-1B-Instruct,CEU,forget,writing_style,0.6186321020126343,0.05833531283531283,0.13005600012838842,1.3007653478923693,,
Llama-3.2-1B-Instruct,CEU,retain,authored_book,,,,,0.7143607985973358,0.33117719134639684
Llama-3.2-1B-Instruct,CEU,retain,award_target_author,,,,,0.7538060247898102,0.38568087565409603
Llama-3.2-1B-Instruct,CEU,retain,award_target_book,,,,,0.7237851560115814,0.5292868738515989
Llama-3.2-1B-Instruct,CEU,retain,birth_year,,,,,0.7311184075143602,0.2839456359012973
Llama-3.2-1B-Instruct,CEU,retain,birthplace,,,,,0.7195823656188117,0.3521482709862665
Llama-3.2-1B-Instruct,CEU,retain,book_award_link,,,,,0.6789658516645432,0.41721030005598025
Llama-3.2-1B-Instruct,CEU,retain,book_theme_link,,,,,0.8144558072090149,0.5787820420281109
Llama-3.2-1B-Instruct,CEU,retain,book_title,,,,,0.7241049194335938,0.32844450168282485
Llama-3.2-1B-Instruct,CEU,retain,book_year,,,,,0.663528660312295,0.2592949591107727
Llama-3.2-1B-Instruct,CEU,retain,father_profession,,,,,0.635328299469418,0.34797391873863753
Llama-3.2-1B-Instruct,CEU,retain,full_name,,,,,0.7241049194335938,0.32844450168282485
Llama-3.2-1B-Instruct,CEU,retain,mother_profession,,,,,0.707148962550693,0.33573497728136903
Llama-3.2-1B-Instruct,CEU,retain,primary_genre,,,,,0.7173375719123416,0.2775843040036994
Llama-3.2-1B-Instruct,CEU,retain,representative_book,,,,,0.6506387309895622,0.2673498738301139
Llama-3.2-1B-Instruct,CEU,retain,representative_book_award,,,,,0.7230650981267294,0.3857735300520843
Llama-3.2-1B-Instruct,CEU,retain,residence_history,,,,,0.7173005143801371,0.3854909021471708
Llama-3.2-1B-Instruct,CEU,retain,residence_link,,,,,0.6212508690853914,0.3595543127437241
Llama-3.2-1B-Instruct,CEU,retain,selected_award,,,,,0.6681768811411328,0.33046188733317156
Llama-3.2-1B-Instruct,CEU,retain,synthetic_contact_token,,,,,0.6742992069986131,0.363508371409347
Llama-3.2-1B-Instruct,CEU,retain,synthetic_private_id,,,,,0.716551211145189,0.3550009937693571
Llama-3.2-1B-Instruct,NPO,forget,core_themes,0.8484761595726014,0.5294705497954472,0.34279498271644115,21.242324678871245,,
Llama-3.2-1B-Instruct,NPO,forget,genre_and_core_themes,0.8238598585128785,0.3350272343979438,0.15615644082427024,1.4657992931991417,,
Llama-3.2-1B-Instruct,NPO,forget,representative_work,0.8820198714733124,0.44206930324577376,0.42856269236654043,5.951647589500957,,
Llama-3.2-1B-Instruct,NPO,forget,writing_style,0.8076830208301544,0.22315471565471565,0.19636904895305635,4.741312693451453,,
Llama-3.2-1B-Instruct,NPO,retain,authored_book,,,,,0.8565579247474671,0.20668523778893536
Llama-3.2-1B-Instruct,NPO,retain,award_target_author,,,,,0.8891089856624603,0.20298071088411004
Llama-3.2-1B-Instruct,NPO,retain,award_target_book,,,,,0.9261458694934845,0.4207257644574224
Llama-3.2-1B-Instruct,NPO,retain,birth_year,,,,,0.8673634727795919,0.17826911196958314
Llama-3.2-1B-Instruct,NPO,retain,birthplace,,,,,0.9272955656051636,0.2314270270983173
Llama-3.2-1B-Instruct,NPO,retain,book_award_link,,,,,0.9642585068941116,0.27154083414610775
Llama-3.2-1B-Instruct,NPO,retain,book_theme_link,,,,,0.9818179905414581,0.44897454212834037
Llama-3.2-1B-Instruct,NPO,retain,book_title,,,,,0.869647204875946,0.20691225375228878
Llama-3.2-1B-Instruct,NPO,retain,book_year,,,,,0.9225520715117455,0.17897594279660856
Llama-3.2-1B-Instruct,NPO,retain,father_profession,,,,,0.8987958232561747,0.24884358208094945
Llama-3.2-1B-Instruct,NPO,retain,full_name,,,,,0.869647204875946,0.20691225375228878
Llama-3.2-1B-Instruct,NPO,retain,mother_profession,,,,,0.7874249782827165,0.16705520183538375
Llama-3.2-1B-Instruct,NPO,retain,primary_genre,,,,,0.898741172419654,0.15165768270584623
Llama-3.2-1B-Instruct,NPO,retain,representative_book,,,,,0.8247540460692512,0.12176594024168806
Llama-3.2-1B-Instruct,NPO,retain,representative_book_award,,,,,0.8555296725696988,0.2750639121931643
Llama-3.2-1B-Instruct,NPO,retain,residence_history,,,,,0.8938648932509952,0.21330833602474214
Llama-3.2-1B-Instruct,NPO,retain,residence_link,,,,,0.8748895153403282,0.19853899980628034
Llama-3.2-1B-Instruct,NPO,retain,selected_award,,,,,0.8554056485493978,0.2252809508791559
Llama-3.2-1B-Instruct,NPO,retain,synthetic_contact_token,,,,,0.9226595362027487,0.24937812462038852
Llama-3.2-1B-Instruct,NPO,retain,synthetic_private_id,,,,,0.8814513882001241,0.20416656380362894
Llama-3.2-1B-Instruct,RMU,forget,core_themes,0.8577166497707367,0.6225566591606263,0.4865594252943993,25.665427159525063,,
Llama-3.2-1B-Instruct,RMU,forget,genre_and_core_themes,0.8282299935817719,0.3683605677312771,0.12690941244363785,1.4084469088849025,,
Llama-3.2-1B-Instruct,RMU,forget,representative_work,0.9072828412055969,0.5556204579733992,0.4405416030436754,5.566924130954893,,
Llama-3.2-1B-Instruct,RMU,forget,writing_style,0.8309493899345398,0.27730856180856184,0.19540879726409913,4.1929899496306104,,
Llama-3.2-1B-Instruct,RMU,retain,authored_book,,,,,0.8556627821922302,0.20423726901587164
Llama-3.2-1B-Instruct,RMU,retain,award_target_author,,,,,0.9183194786310196,0.2037799320323858
Llama-3.2-1B-Instruct,RMU,retain,award_target_book,,,,,0.9320780813694001,0.42077388645291586
Llama-3.2-1B-Instruct,RMU,retain,birth_year,,,,,0.8588177263736725,0.17411290929755122
Llama-3.2-1B-Instruct,RMU,retain,birthplace,,,,,0.9410187204678854,0.22651344995715295
Llama-3.2-1B-Instruct,RMU,retain,book_award_link,,,,,0.9708317667245865,0.2669938465838839
Llama-3.2-1B-Instruct,RMU,retain,book_theme_link,,,,,0.9779059290885925,0.47989126123317605
Llama-3.2-1B-Instruct,RMU,retain,book_title,,,,,0.8702906131744385,0.21158551135024342
Llama-3.2-1B-Instruct,RMU,retain,book_year,,,,,0.9280539304018021,0.1738962898102617
Llama-3.2-1B-Instruct,RMU,retain,father_profession,,,,,0.9134892159038119,0.2469905930543417
Llama-3.2-1B-Instruct,RMU,retain,full_name,,,,,0.8702906131744385,0.21158551135024342
Llama-3.2-1B-Instruct,RMU,retain,mother_profession,,,,,0.7747310598691305,0.1674130373024268
Llama-3.2-1B-Instruct,RMU,retain,primary_genre,,,,,0.8913031783368852,0.1503778350953492
Llama-3.2-1B-Instruct,RMU,retain,representative_book,,,,,0.8426930142773522,0.11997084866534172
Llama-3.2-1B-Instruct,RMU,retain,representative_book_award,,,,,0.8679825100633833,0.2761205731053664
Llama-3.2-1B-Instruct,RMU,retain,residence_history,,,,,0.8949751622147031,0.2113040827867774
Llama-3.2-1B-Instruct,RMU,retain,residence_link,,,,,0.8953268453478813,0.19590910182537188
Llama-3.2-1B-Instruct,RMU,retain,selected_award,,,,,0.8749787625339296,0.22184407663505415
Llama-3.2-1B-Instruct,RMU,retain,synthetic_contact_token,,,,,0.9326022664705912,0.2476223220806751
Llama-3.2-1B-Instruct,RMU,retain,synthetic_private_id,,,,,0.8987698985470666,0.20079698919987832
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,core_themes,0.9976744174957275,0.9790697674418605,0.9470165073871613,11.467223275400917,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,genre_and_core_themes,0.9255743324756622,0.5076546070253164,0.7353391230106354,1.49654992061878,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,representative_work,0.974428915977478,0.9744289044289044,0.9194476008415222,3.907260441305226,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,writing_style,0.9372220933437347,0.6298702223702224,0.8347038745880127,3.8486826505737257,,
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,authored_book,,,,,0.9862095379829406,0.22722094300372833
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,award_target_author,,,,,0.9991107434034348,0.22425418611697318
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,award_target_book,,,,,0.9775924146175384,0.4103934695037733
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,birth_year,,,,,0.9944532381163703,0.1896202904851986
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,birthplace,,,,,0.9952157934506735,0.24625409366078838
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_award_link,,,,,0.9854384139180183,0.3197417522135764
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_theme_link,,,,,0.9865937829017639,0.36498548573795736
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_title,,,,,0.9937601733207703,0.22034349844196194
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,book_year,,,,,0.9600954055786133,0.1922970818516659
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,father_profession,,,,,0.9862861368391249,0.26186684499920404
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,full_name,,,,,0.9937601733207703,0.22034349844196194
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,mother_profession,,,,,0.9972228672769334,0.21900427263324826
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,primary_genre,,,,,0.9902517331971062,0.17649052392102094
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,representative_book,,,,,0.9567911856704288,0.14142704865778988
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,representative_book_award,,,,,0.9753283129798042,0.27507279331634016
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,residence_history,,,,,0.9976119796435038,0.23766851153784044
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,residence_link,,,,,0.9642610227068266,0.2278800240997045
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,selected_award,,,,,0.9610696335633596,0.26597329454630564
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,synthetic_contact_token,,,,,0.982679459783766,0.2430270866971681
Llama-3.2-1B-Instruct,SimNPO_pcgrad,retain,synthetic_private_id,,,,,0.9908154010772705,0.2260221444803997
Llama-3.2-1B-Instruct,SimNPO_sago,forget,core_themes,1.0,1.0,0.9840743005275726,23.55073075786479,,
Llama-3.2-1B-Instruct,SimNPO_sago,forget,genre_and_core_themes,0.9643528938293457,0.6163614074712473,0.9073791682720185,1.6551568447431868,,
Llama-3.2-1B-Instruct,SimNPO_sago,forget,representative_work,1.0,1.0,0.986169308423996,5.229092633505421,,
Llama-3.2-1B-Instruct,SimNPO_sago,forget,writing_style,0.9805925965309144,0.7644444444444445,0.9312147796154022,4.416945968173308,,
Llama-3.2-1B-Instruct,SimNPO_sago,retain,authored_book,,,,,0.9931524777412415,0.22204988344831278
Llama-3.2-1B-Instruct,SimNPO_sago,retain,award_target_author,,,,,0.9992332458496094,0.20848230167431114
Llama-3.2-1B-Instruct,SimNPO_sago,retain,award_target_book,,,,,0.9800136148929596,0.40498328329061817
Llama-3.2-1B-Instruct,SimNPO_sago,retain,birth_year,,,,,0.9957425329420302,0.18486212207975422
Llama-3.2-1B-Instruct,SimNPO_sago,retain,birthplace,,,,,0.9960384832488166,0.23612996481985327
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_award_link,,,,,0.9896417483687401,0.30850595438920625
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_theme_link,,,,,0.9940145909786224,0.37854734983451543
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_title,,,,,0.9946341753005982,0.21861836122475758
Llama-3.2-1B-Instruct,SimNPO_sago,retain,book_year,,,,,0.9639699943363667,0.1869978161766747
Llama-3.2-1B-Instruct,SimNPO_sago,retain,father_profession,,,,,0.9907916585604349,0.2490758501493461
Llama-3.2-1B-Instruct,SimNPO_sago,retain,full_name,,,,,0.9946341753005982,0.21861836122475758
Llama-3.2-1B-Instruct,SimNPO_sago,retain,mother_profession,,,,,0.9982141786151462,0.20465685828489877
Llama-3.2-1B-Instruct,SimNPO_sago,retain,primary_genre,,,,,0.9943104651239183,0.1708742561374889
Llama-3.2-1B-Instruct,SimNPO_sago,retain,representative_book,,,,,0.9708253741264343,0.13403862765063074
Llama-3.2-1B-Instruct,SimNPO_sago,retain,representative_book_award,,,,,0.9804449246989356,0.27352232842372
Llama-3.2-1B-Instruct,SimNPO_sago,retain,residence_history,,,,,0.9983876943588257,0.2271977886247779
Llama-3.2-1B-Instruct,SimNPO_sago,retain,residence_link,,,,,0.968425969282786,0.22824511175828377
Llama-3.2-1B-Instruct,SimNPO_sago,retain,selected_award,,,,,0.9678228497505188,0.2595688794012748
Llama-3.2-1B-Instruct,SimNPO_sago,retain,synthetic_contact_token,,,,,0.9852884411811829,0.24858961747779107
Llama-3.2-1B-Instruct,SimNPO_sago,retain,synthetic_private_id,,,,,0.9924847748544481,0.2133760679198018
