task_name,model,method,tuning_tag,rank_within_method,BUS,BUS_Lite,MYTOFU_Mem,MYTOFU_Utility,MYTOFU_Utility_Lite,extraction_strength,exact_memorization,forget_Q_A_PARA_Prob,forget_truth_ratio,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_Q_A_PERT_Prob,retain_Q_A_Prob,retain_Q_A_ROUGE,retain_truth_ratio,retain_Q_A_PARA_Prob,retain_Q_A_PERT_Prob,source_file
mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr1em5_e2_from_full_e10,Llama-3.2-1B-Instruct,CEU,paper_i1_lr1em5_e2,1,0.3954295039744248,0.38881146417237467,0.29512904031112663,0.5990021177931627,0.5696276080750526,0.43291527760722276,0.871744304150343,0.28292422196827827,0.615164234038434,0.5639107525348663,0.5859861775651249,0.27253609597682954,0.8949780615667502,0.41775981319710287,0.6678849949447155,0.4389719725276033,0.29834544960564624,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr1em5_e2_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10,Llama-3.2-1B-Instruct,CEU,paper_i2_lr1em5_e2,2,0.3866064271925355,0.3805897280517465,0.2846228484492988,0.6024828215390833,0.5741908573089929,0.4096545326778931,0.8809187680482864,0.2813817796763033,0.6109817791466059,0.5725156361237168,0.5646648380858907,0.2763002599589527,0.8976731531322002,0.4220885373939537,0.6683452414032751,0.4359746964493146,0.2987205187013994,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,CEU,paper_i2_lr5em6_e3,3,0.17664894126469433,0.1760907864206701,0.10166190494034384,0.67323547617762,0.6573535551882861,0.7757559812263761,0.9677165165543556,0.3558766884962097,0.5760175120506815,0.8644109256565571,0.6282911715477505,0.375232164375484,0.9641908357540766,0.4986626697118645,0.7074184955403023,0.3805624617263675,0.2814450798711429,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,CEU,paper_i1_lr5em6_e3,4,0.1710808546021341,0.1705605646318379,0.09800615650335974,0.6725229121687282,0.6567715955854087,0.7737916955120903,0.9691949121654033,0.36047875131480395,0.5775633051081993,0.8671054374426603,0.6364379206319997,0.37682670187205075,0.9634531940023104,0.4981901883748322,0.7064063189449977,0.38453869816536707,0.28226969197082025,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,CEU,paper_i0_lr5em6_e3,5,0.17003777750903304,0.16930138973765785,0.09769220908621534,0.6553675626512436,0.6341068410134617,0.7748969444298393,0.9692453943192959,0.3723246174864471,0.5822678024829072,0.8661711156368256,0.6614912463267727,0.3815936009399593,0.9610932784775893,0.4731351757132019,0.7024734830246634,0.391179251872624,0.28529326027880114,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_CEU_paper_i4_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,CEU,paper_i4_lr5em6_e3,6,0.09096934813850273,0.09118834426074839,0.048575170883631745,0.714909591629252,0.7429539177466729,0.8552750629934899,0.9860808089375496,0.11758117182180286,0.5935674892772538,0.9207558542490005,0.4493093303530946,0.08791805314831436,0.9740167026008878,0.6004994132596471,0.6647266389673263,0.35282750678514796,0.322078950417095,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i4_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,DPO,paper_b0p1_a0p5_g1_lr5em6_e3,1,0.2090908041356883,0.20790786925969681,0.12221813600296107,0.7229975970510477,0.6956261520055989,0.7045371085383865,0.9625147007405758,0.15350973733930004,0.3267688913009758,0.8445840001106262,0.6210826089115562,0.3050237995106727,0.8236183809116483,0.6020639945832561,0.7847545196348933,0.16245835305113968,0.17750694978167303,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,DPO,paper_b0p1_a2_g1_lr5em6_e3,2,0.20788339929974398,0.20688297271336134,0.12109207306919118,0.7338916524558019,0.7096616236224426,0.7032082797095576,0.9629567056894303,0.1559945297674858,0.32572918356523484,0.863961935043335,0.6162586828376302,0.31249450109899046,0.8713141471768419,0.598604224019152,0.7876792319630065,0.16797019111108966,0.186608667728918,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,DPO,paper_b0p05_a1_g1_lr5em6_e3,3,0.20635164665416966,0.20534145994387848,0.12012227370196608,0.7313457517624025,0.7067020383789834,0.7045371085383865,0.9633066102862358,0.15439775811391881,0.3240635416391142,0.8509619317948818,0.6203656175695649,0.30881155729293824,0.8440935555224617,0.6077755565349496,0.7861759145615427,0.16526812262503274,0.1812862594262697,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10,Llama-3.2-1B-Instruct,DPO,paper_b0p1_a1_g1_lr5em6_e3,4,0.20635164665416966,0.20534145994387848,0.12012227370196608,0.7313457517624025,0.7067020383789834,0.7045371085383865,0.9633066102862358,0.15439775811391881,0.3240635416391142,0.8509619317948818,0.6203656175695649,0.30881155729293824,0.8440935555224617,0.6077755565349496,0.7861759145615427,0.16526812262503274,0.1812862594262697,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
