method,tuning_tag,BUS,BUS,BUS_Lite,MYTOFU_Mem,MYTOFU_Utility,MYTOFU_Utility_Lite,extraction_strength,exact_memorization,forget_Q_A_Prob,forget_Q_A_PARA_Prob,forget_truth_ratio,retain_Q_A_Prob,retain_Q_A_ROUGE,retain_truth_ratio,task_name,summary_file
CEU,paper_i1_lr1em5_e2,0.3954295039744248,0.3954295039744248,0.38881146417237467,0.29512904031112663,0.5990021177931627,0.5696276080750526,0.43291527760722276,0.871744304150343,0.5639107525348663,0.28292422196827827,0.615164234038434,0.8949780615667502,0.41775981319710287,0.6678849949447155,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr1em5_e2_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr1em5_e2_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i2_lr1em5_e2,0.3866064271925355,0.3866064271925355,0.3805897280517465,0.2846228484492988,0.6024828215390833,0.5741908573089929,0.4096545326778931,0.8809187680482864,0.5725156361237168,0.2813817796763033,0.6109817791466059,0.8976731531322002,0.4220885373939537,0.6683452414032751,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr1em5_e2_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p1_a0p5_g1_lr5em6_e3,0.2090908041356883,0.2090908041356883,0.20790786925969681,0.12221813600296107,0.7229975970510477,0.6956261520055989,0.7045371085383865,0.9625147007405758,0.8445840001106262,0.15350973733930004,0.3267688913009758,0.8236183809116483,0.6020639945832561,0.7847545196348933,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p1_a2_g1_lr5em6_e3,0.20788339929974398,0.20788339929974398,0.20688297271336134,0.12109207306919118,0.7338916524558019,0.7096616236224426,0.7032082797095576,0.9629567056894303,0.863961935043335,0.1559945297674858,0.32572918356523484,0.8713141471768419,0.598604224019152,0.7876792319630065,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p05_a1_g1_lr5em6_e3,0.20635164665416966,0.20635164665416966,0.20534145994387848,0.12012227370196608,0.7313457517624025,0.7067020383789834,0.7045371085383865,0.9633066102862358,0.8509619317948818,0.15439775811391881,0.3240635416391142,0.8440935555224617,0.6077755565349496,0.7861759145615427,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p1_a1_g1_lr5em6_e3,0.20635164665416966,0.20635164665416966,0.20534145994387848,0.12012227370196608,0.7313457517624025,0.7067020383789834,0.7045371085383865,0.9633066102862358,0.8509619317948818,0.15439775811391881,0.3240635416391142,0.8440935555224617,0.6077755565349496,0.7861759145615427,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p2_a1_g1_lr5em6_e3,0.20635164665416966,0.20635164665416966,0.20534145994387848,0.12012227370196608,0.7313457517624025,0.7067020383789834,0.7045371085383865,0.9633066102862358,0.8509619317948818,0.15439775811391881,0.3240635416391142,0.8440935555224617,0.6077755565349496,0.7861759145615427,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
DPO,paper_b0p5_a1_g1_lr5em6_e3,0.20635164665416966,0.20635164665416966,0.20534145994387848,0.12012227370196608,0.7313457517624025,0.7067020383789834,0.7045371085383865,0.9633066102862358,0.8509619317948818,0.15439775811391881,0.3240635416391142,0.8440935555224617,0.6077755565349496,0.7861759145615427,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i2_lr5em6_e3,0.17664894126469433,0.17664894126469433,0.1760907864206701,0.10166190494034384,0.67323547617762,0.6573535551882861,0.7757559812263761,0.9677165165543556,0.8644109256565571,0.3558766884962097,0.5760175120506815,0.9641908357540766,0.4986626697118645,0.7074184955403023,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i2_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
UNDIAL,paper_b10_a0p1_g1_lr5em6_e3,0.17389300297115814,0.17389300297115814,0.17322520952691073,0.09911408336791158,0.708244487699141,0.6866810879616339,0.7748776065155499,0.9691165678203106,0.8929413922131062,0.29668873058399187,0.5269272163947267,0.9825536000231901,0.5277590692701828,0.7557064012419948,mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0p1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0p1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i1_lr5em6_e3,0.1710808546021341,0.1710808546021341,0.1705605646318379,0.09800615650335974,0.6725229121687282,0.6567715955854087,0.7737916955120903,0.9691949121654033,0.8671054374426603,0.36047875131480395,0.5775633051081993,0.9634531940023104,0.4981901883748322,0.7064063189449977,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
CEU,paper_i0_lr5em6_e3,0.17003777750903304,0.17003777750903304,0.16930138973765785,0.09769220908621534,0.6553675626512436,0.6341068410134617,0.7748969444298393,0.9692453943192959,0.8661711156368256,0.3723246174864471,0.5822678024829072,0.9610932784775893,0.4731351757132019,0.7024734830246634,mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_CEU_paper_i0_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
UNDIAL,paper_b20_a0_g1_lr5em6_e3,0.1665460199014256,0.1665460199014256,0.16597933519802627,0.09466902572897039,0.6917658658031595,0.6726868796854356,0.7701267942386363,0.9706817097961903,0.8807879038155079,0.3370882330927998,0.5624295954808416,0.975414152443409,0.5133612679088222,0.733365834521413,mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b20_a0_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b20_a0_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p05_a1_g1_lr5em6_e3,0.1522848450562248,0.1522848450562248,0.1517997854077796,0.08513588290595771,0.7207962337276047,0.6996330914649896,0.7753057390872751,0.9745870210230351,0.9110225796699524,0.24996073697693647,0.45945573742477547,0.9869682031373183,0.5418769668991686,0.7672108245265475,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p05_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p05_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p1_a1_g1_lr5em6_e3,0.1522848450562248,0.1522848450562248,0.1517997854077796,0.08513588290595771,0.7207962337276047,0.6996330914649896,0.7753057390872751,0.9745870210230351,0.9110225796699524,0.24996073697693647,0.45945573742477547,0.9869682031373183,0.5418769668991686,0.7672108245265475,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p2_a1_g1_lr5em6_e3,0.1522848450562248,0.1522848450562248,0.1517997854077796,0.08513588290595771,0.7207962337276047,0.6996330914649896,0.7753057390872751,0.9745870210230351,0.9110225796699524,0.24996073697693647,0.45945573742477547,0.9869682031373183,0.5418769668991686,0.7672108245265475,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
PDU,paper_eps0p5_a1_g1_lr5em6_e3,0.1522848450562248,0.1522848450562248,0.1517997854077796,0.08513588290595771,0.7207962337276047,0.6996330914649896,0.7753057390872751,0.9745870210230351,0.9110225796699524,0.24996073697693647,0.45945573742477547,0.9869682031373183,0.5418769668991686,0.7672108245265475,mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_PDU_paper_eps0p5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA,paper_b0p5_a1_g1_lr5em6_e3,0.1522848450562248,0.1522848450562248,0.1517997854077796,0.08513588290595771,0.7207962337276047,0.6996330914649896,0.7753057390872751,0.9745870210230351,0.9110225796699524,0.24996073697693647,0.45945573742477547,0.9869682031373183,0.5418769668991686,0.7672108245265475,mytofu_Llama-3.2-1B-Instruct_WGA_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
UNDIAL,paper_b10_a0_g1_lr5em6_e3,0.15179587068861924,0.15179587068861924,0.15158553639445183,0.08459217929865355,0.7384623422989666,0.7286255140234106,0.7784307390872751,0.9746911875903607,0.9087999682873488,0.2638316843076609,0.4742707157981454,0.9851023512581984,0.5781110973053571,0.7589549248984658,mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_UNDIAL_paper_b10_a0_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc2_a0p5_g1_lr5em6_e3,0.15175666179906055,0.15175666179906055,0.15153853720417235,0.08457589426296502,0.7378477652705046,0.7276627730572495,0.7784307390872751,0.9746911875903607,0.9083399210125208,0.26425832115346565,0.47655949297637773,0.9850014306604862,0.5769345119511402,0.7590977309555675,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc2_a2_g1_lr5em6_e3,0.14981628614725667,0.14981628614725667,0.149634915565873,0.0833268354908947,0.7414285028424191,0.7326390025789092,0.7788771676587036,0.9751376159489155,0.9066690940409898,0.2619692561158445,0.47506791603580834,0.9851564094424248,0.5831617342866249,0.7596557453183149,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a2_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a2_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc10_a1_g1_lr5em6_e3,0.14647808505335988,0.14647808505335988,0.1463032992954208,0.08126957822452668,0.7411841899049656,0.7323301328710745,0.7784307390872751,0.9758699156343937,0.9074041217565536,0.26316780917695726,0.4754630812369077,0.9850647355119387,0.5828025322106077,0.7595505064117717,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc10_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc10_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc1_a1_g1_lr5em6_e3,0.14647808505335988,0.14647808505335988,0.1463032992954208,0.08126957822452668,0.7411841899049656,0.7323301328710745,0.7784307390872751,0.9758699156343937,0.9074041217565536,0.26316780917695726,0.4754630812369077,0.9850647355119387,0.5828025322106077,0.7595505064117717,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc20_a1_g1_lr5em6_e3,0.14647808505335988,0.14647808505335988,0.1463032992954208,0.08126957822452668,0.7411841899049656,0.7323301328710745,0.7784307390872751,0.9758699156343937,0.9074041217565536,0.26316780917695726,0.4754630812369077,0.9850647355119387,0.5828025322106077,0.7595505064117717,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc20_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc20_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc2_a1_g1_lr5em6_e3,0.14647808505335988,0.14647808505335988,0.1463032992954208,0.08126957822452668,0.7411841899049656,0.7323301328710745,0.7784307390872751,0.9758699156343937,0.9074041217565536,0.26316780917695726,0.4754630812369077,0.9850647355119387,0.5828025322106077,0.7595505064117717,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
RMU,paper_sc5_a1_g1_lr5em6_e3,0.14647808505335988,0.14647808505335988,0.1463032992954208,0.08126957822452668,0.7411841899049656,0.7323301328710745,0.7784307390872751,0.9758699156343937,0.9074041217565536,0.26316780917695726,0.4754630812369077,0.9850647355119387,0.5828025322106077,0.7595505064117717,mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc5_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_RMU_paper_sc5_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA,paper_b1_a1_g1_lr5em6_e3,0.13491681416314016,0.13491681416314016,0.1345418443727843,0.07442242332517846,0.7209084460816131,0.7000579250806733,0.7936219136534497,0.9781023830175399,0.923496925085783,0.25838681975728833,0.4698573766781764,0.9870937258005142,0.5423489301211321,0.7665715722100612,mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_paper_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_paper_b1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
