category,slurm_array_task_id,method_label,trainer,tag,task_name,cuda_home,nvcc,err_file,out_file,excerpt
cuda_home_missing,10,DPO,DPO,paper_b0p05_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p05_a1_g1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_10.err,logs/mytofu_paper_tune-38392_10.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
unknown_error,11,DPO,DPO,paper_b0p1_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a1_g1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_11.err,logs/mytofu_paper_tune-38392_11.out,"Calculating text similarity:  62%|██████▎   | 5/8 [00:06<00:03,  1.26s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity:  75%|███████▌  | 6/8 [00:07<00:02,  1.26s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity:  88%|████████▊ | 7/8 [00:08<00:01,  1.20s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity: 100%|██████████| 8/8 [00:09<00:00,  1.16s/it]
Calculating text similarity: 100%|██████████| 8/8 [00:09<00:00,  1.19s/it]
Calculating loss:   0%|          | 0/8 [00:00<?, ?it/s]
Calculating loss:  12%|█▎        | 1/8 [00:00<00:02,  3.17it/s]
Calculating loss:  25%|██▌       | 2/8 [00:00<00:01,  3.26it/s]
Calculating loss:  38%|███▊      | 3/8 [00:00<00:01,  3.32it/s]
Calculating loss:  50%|█████     | 4/8 [00:01<00:01,  3.29it/s]
Calculating loss:  62%|██████▎   | 5/8 [00:01<00:00,  3.26it/s]
Calculating loss:  75%|███████▌  | 6/8 [00:01<00:00,  3.25it/s]
Calculating loss:  88%|████████▊ | 7/8 [00:02<00:00,  3.30it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.53it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.37it/s]
Calculating loss:   0%|          | 0/8 [00:00<?, ?it/s]
Calculating loss:  12%|█▎        | 1/8 [00:00<00:02,  3.31it/s]
Calculating loss:  25%|██▌       | 2/8 [00:00<00:01,  3.33it/s]
Calculating loss:  38%|███▊      | 3/8 [00:00<00:01,  3.38it/s]
Calculating loss:  50%|█████     | 4/8 [00:01<00:01,  3.37it/s]
Calculating loss:  62%|██████▎   | 5/8 [00:01<00:00,  3.36it/s]
Calculating loss:  75%|███████▌  | 6/8 [00:01<00:00,  3.31it/s]
Calculating loss:  88%|████████▊ | 7/8 [00:02<00:00,  3.36it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.57it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.43it/s]"
cuda_home_missing,12,DPO,DPO,paper_b0p2_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p2_a1_g1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_12.err,logs/mytofu_paper_tune-38392_12.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
cuda_home_missing,13,DPO,DPO,paper_b0p5_a1_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p5_a1_g1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_13.err,logs/mytofu_paper_tune-38392_13.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
unknown_error,14,DPO,DPO,paper_b0p1_a0p5_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a0p5_g1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_14.err,logs/mytofu_paper_tune-38392_14.out,"Calculating text similarity:  62%|██████▎   | 5/8 [00:05<00:03,  1.23s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity:  75%|███████▌  | 6/8 [00:07<00:02,  1.25s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity:  88%|████████▊ | 7/8 [00:08<00:01,  1.16s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity: 100%|██████████| 8/8 [00:09<00:00,  1.13s/it]
Calculating text similarity: 100%|██████████| 8/8 [00:09<00:00,  1.16s/it]
Calculating loss:   0%|          | 0/8 [00:00<?, ?it/s]
Calculating loss:  12%|█▎        | 1/8 [00:00<00:02,  3.11it/s]
Calculating loss:  25%|██▌       | 2/8 [00:00<00:01,  3.23it/s]
Calculating loss:  38%|███▊      | 3/8 [00:00<00:01,  3.31it/s]
Calculating loss:  50%|█████     | 4/8 [00:01<00:01,  3.28it/s]
Calculating loss:  62%|██████▎   | 5/8 [00:01<00:00,  3.26it/s]
Calculating loss:  75%|███████▌  | 6/8 [00:01<00:00,  3.25it/s]
Calculating loss:  88%|████████▊ | 7/8 [00:02<00:00,  3.31it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.53it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.36it/s]
Calculating loss:   0%|          | 0/8 [00:00<?, ?it/s]
Calculating loss:  12%|█▎        | 1/8 [00:00<00:02,  3.33it/s]
Calculating loss:  25%|██▌       | 2/8 [00:00<00:01,  3.34it/s]
Calculating loss:  38%|███▊      | 3/8 [00:00<00:01,  3.39it/s]
Calculating loss:  50%|█████     | 4/8 [00:01<00:01,  3.38it/s]
Calculating loss:  62%|██████▎   | 5/8 [00:01<00:00,  3.36it/s]
Calculating loss:  75%|███████▌  | 6/8 [00:01<00:00,  3.32it/s]
Calculating loss:  88%|████████▊ | 7/8 [00:02<00:00,  3.37it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.59it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.44it/s]"
cuda_home_missing,15,DPO,DPO,paper_b0p1_a2_g1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_DPO_paper_b0p1_a2_g1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_15.err,logs/mytofu_paper_tune-38392_15.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
cuda_home_missing,24,SimNPO,SimNPO,paper_b1_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b1_g0p125_a1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_24.err,logs/mytofu_paper_tune-38392_24.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
cuda_home_missing,27,SimNPO,SimNPO,paper_b8_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b8_g0p125_a1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_27.err,logs/mytofu_paper_tune-38392_27.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
unknown_error,29,SimNPO,SimNPO,paper_b4p5_g0p25_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_paper_b4p5_g0p25_a1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_29.err,logs/mytofu_paper_tune-38392_29.out,"Calculating text similarity:  62%|██████▎   | 5/8 [00:05<00:03,  1.15s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity:  75%|███████▌  | 6/8 [00:06<00:02,  1.15s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity:  88%|████████▊ | 7/8 [00:07<00:01,  1.13s/it]A decoder-only architecture is being used, but right-padding was detected! For correct generation results, please set `padding_side='left'` when initializing the tokenizer.
Calculating text similarity: 100%|██████████| 8/8 [00:08<00:00,  1.07s/it]
Calculating text similarity: 100%|██████████| 8/8 [00:08<00:00,  1.10s/it]
Calculating loss:   0%|          | 0/8 [00:00<?, ?it/s]
Calculating loss:  12%|█▎        | 1/8 [00:00<00:02,  3.17it/s]
Calculating loss:  25%|██▌       | 2/8 [00:00<00:01,  3.23it/s]
Calculating loss:  38%|███▊      | 3/8 [00:00<00:01,  3.30it/s]
Calculating loss:  50%|█████     | 4/8 [00:01<00:01,  3.28it/s]
Calculating loss:  62%|██████▎   | 5/8 [00:01<00:00,  3.26it/s]
Calculating loss:  75%|███████▌  | 6/8 [00:01<00:00,  3.24it/s]
Calculating loss:  88%|████████▊ | 7/8 [00:02<00:00,  3.30it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.52it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.36it/s]
Calculating loss:   0%|          | 0/8 [00:00<?, ?it/s]
Calculating loss:  12%|█▎        | 1/8 [00:00<00:02,  3.34it/s]
Calculating loss:  25%|██▌       | 2/8 [00:00<00:01,  3.33it/s]
Calculating loss:  38%|███▊      | 3/8 [00:00<00:01,  3.39it/s]
Calculating loss:  50%|█████     | 4/8 [00:01<00:01,  3.36it/s]
Calculating loss:  62%|██████▎   | 5/8 [00:01<00:00,  3.34it/s]
Calculating loss:  75%|███████▌  | 6/8 [00:01<00:00,  3.31it/s]
Calculating loss:  88%|████████▊ | 7/8 [00:02<00:00,  3.36it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.58it/s]
Calculating loss: 100%|██████████| 8/8 [00:02<00:00,  3.44it/s]"
cuda_home_missing,30,SimNPO_sago,SimNPO,paper_b2_g0p125_a1_lr5em6_e3,mytofu_Llama-3.2-1B-Instruct_SimNPO_sago_paper_b2_g0p125_a1_lr5em6_e3_from_full_e10,,,logs/mytofu_paper_tune-38392_30.err,logs/mytofu_paper_tune-38392_30.out,"Traceback (most recent call last):
  File ""/home/zkzhang/unlearning/open-unlearning/src/train.py"", line 5, in <module>
    from trainer import load_trainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/__init__.py"", line 7, in <module>
    from trainer.unlearn.grad_ascent import GradAscent
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/grad_ascent.py"", line 1, in <module>
    from trainer.unlearn.base import UnlearnTrainer
  File ""/home/zkzhang/unlearning/open-unlearning/src/trainer/unlearn/base.py"", line 35, in <module>
    import deepspeed
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/__init__.py"", line 25, in <module>
    from . import ops
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/__init__.py"", line 15, in <module>
    from ..git_version_info import compatible_ops as __compatible_ops__
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/git_version_info.py"", line 29, in <module>
    op_compatible = builder.is_compatible()
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/fp_quantizer.py"", line 35, in is_compatible
    sys_cuda_major, _ = installed_cuda_version()
                        ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/zkzhang/miniconda3/envs/unlearning/lib/python3.11/site-packages/deepspeed/ops/op_builder/builder.py"", line 51, in installed_cuda_version
    raise MissingCUDAException(""CUDA_HOME does not exist, unable to compile CUDA op(s)"")
deepspeed.ops.op_builder.builder.MissingCUDAException: CUDA_HOME does not exist, unable to compile CUDA op(s)"
