method,tuning_tag,BUS,BUS,BUS_Lite,MYTOFU_Mem,MYTOFU_Utility,MYTOFU_Utility_Lite,extraction_strength,exact_memorization,forget_Q_A_Prob,forget_Q_A_PARA_Prob,forget_truth_ratio,retain_Q_A_Prob,retain_Q_A_ROUGE,retain_truth_ratio,task_name,summary_file
WGA_pcgrad,b0p5_a0p5_g1_lr5em6_e3,0.16665906855012846,0.16665906855012846,0.16623313344914808,0.09408653968741279,0.7288448070040272,0.7128686807437199,0.7553161437010079,0.9715627551078796,0.9094517767429352,0.25999855023110285,0.47661678514246686,0.9866232953965663,0.5580333020536656,0.7630461162344466,mytofu_Llama-3.2-1B-Instruct_WGA_pcgrad_b0p5_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_pcgrad_b0p5_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_none,b0p5_a0p5_g1_lr5em6_e3,0.16650886505772147,0.16650886505772147,0.16607273228018551,0.09398924120490607,0.7289390222477058,0.7125549227702346,0.7542139564146101,0.9716118842363357,0.9083773642778397,0.2591389877023175,0.47745045437203926,0.9866615208486716,0.5576366607262967,0.7640765412227369,mytofu_Llama-3.2-1B-Instruct_WGA_none_b0p5_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_none_b0p5_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_none,b1_a1_g1_lr5em6_e3,0.13491681416314016,0.13491681416314016,0.1345418443727843,0.07442242332517846,0.7209084460816131,0.7000579250806733,0.7936219136534497,0.9781023830175399,0.923496925085783,0.25838681975728833,0.4698573766781764,0.9870937258005142,0.5423489301211321,0.7665715722100612,mytofu_Llama-3.2-1B-Instruct_WGA_none_b1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_none_b1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_pcgrad,b1_a1_g1_lr5em6_e3,0.13447757270951113,0.13447757270951113,0.1341393107775808,0.07411165160044057,0.725050954765728,0.7058570870731641,0.7911548083902918,0.9782394438982009,0.9237064585089684,0.257422316132579,0.46893701148693195,0.9871694408357143,0.5493185230747614,0.7667503438416325,mytofu_Llama-3.2-1B-Instruct_WGA_pcgrad_b1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_pcgrad_b1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_none,b2_a1_g1_lr5em6_e3,0.11637272825761204,0.11637272825761204,0.11607912940155438,0.06330567853817491,0.7195352674768589,0.6977126091255649,0.8344271196031064,0.9814480923116207,0.928589441627264,0.26016807575942946,0.4712848960516117,0.9870089036722978,0.5395641719334132,0.7675492027271178,mytofu_Llama-3.2-1B-Instruct_WGA_none_b2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_none_b2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_sago,b0p5_a0p5_g1_lr5em6_e3,0.11521456729426095,0.11521456729426095,0.11491739042899082,0.06260191680042326,0.7220402915074002,0.6993718620096756,0.8108491956307317,0.9819659151136875,0.9379091665148735,0.24903893834271001,0.4526064130996693,0.9872613832354545,0.5414753888876837,0.7720911889887879,mytofu_Llama-3.2-1B-Instruct_WGA_sago_b0p5_a0p5_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_sago_b0p5_a0p5_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_pcgrad,b2_a1_g1_lr5em6_e3,0.11098052776850653,0.11098052776850653,0.11074649333025,0.060092442432548944,0.7245580442041567,0.7051018439406128,0.8344497645306428,0.9825415186583996,0.9293372690677643,0.2615621202916373,0.47109188272893243,0.9871863293151061,0.5483990438110482,0.7668797788097509,mytofu_Llama-3.2-1B-Instruct_WGA_pcgrad_b2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_pcgrad_b2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_sago,b1_a1_g1_lr5em6_e3,0.08410268326568497,0.08410268326568497,0.08393854785924154,0.04465892114727233,0.7201956986261833,0.6968581168305531,0.8703082477342345,0.9872928373515606,0.9464080937206745,0.2515670465887524,0.45213912416579394,0.987220090876023,0.5384799554676178,0.7718969188498507,mytofu_Llama-3.2-1B-Instruct_WGA_sago_b1_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_sago_b1_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_sago,b5_1_a0p5_g0p1_lr5em6_e3,0.066784905869102,0.066784905869102,0.06668275374718557,0.03501212288028898,0.7218388341990637,0.6987012863820197,0.8802762474780496,0.9902675375342369,0.9593309678137303,0.25055049896182024,0.44762052185876816,0.9874378417929014,0.5406189716661558,0.773037209676093,mytofu_Llama-3.2-1B-Instruct_SatImp_sago_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_sago_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_sago,b5_1_a0p1_g0p1_lr5em6_e3,0.0660984954113642,0.0660984954113642,0.066003287895597,0.03463161813487175,0.7233128887362406,0.7011769511978135,0.8906023344345713,0.9903110161423683,0.95881791934371,0.25298458174511324,0.44805301181775636,0.9876994120577971,0.5435097899086576,0.7720602938266417,mytofu_Llama-3.2-1B-Instruct_SatImp_sago_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_sago_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
WGA_sago,b2_a1_g1_lr5em6_e3,0.06239859455619503,0.06239859455619503,0.06231104279267241,0.032607451121548434,0.7224562612626799,0.6996909860419698,0.891170516252753,0.9909360155463218,0.9505530975759029,0.2502839727792889,0.4511730132465354,0.9871544763445854,0.541890281639554,0.7727403039149117,mytofu_Llama-3.2-1B-Instruct_WGA_sago_b2_a1_g1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_WGA_sago_b2_a1_g1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_sago,b10_1_a0p1_g0p1_lr5em6_e3,0.06149800760879431,0.06149800760879431,0.06141879646364141,0.03211114626830415,0.7248770117154597,0.703488753162412,0.8795386698382981,0.9911603942513466,0.9586915507912636,0.2507400482922094,0.4456919224420218,0.9877243608236312,0.5462852576183358,0.7718077513011854,mytofu_Llama-3.2-1B-Instruct_SatImp_sago_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_sago_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_pcgrad,b5_1_a0p1_g0p1_lr5em6_e3,0.059394855455961425,0.059394855455961425,0.05931923742591443,0.030973216559073043,0.7209851958639708,0.6993417324581661,0.891170516252753,0.9914360150694848,0.9544832840561867,0.2580167568434263,0.4563265192047499,0.9878688658277194,0.5412567294976813,0.7685562724523974,mytofu_Llama-3.2-1B-Instruct_SatImp_pcgrad_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_pcgrad_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_none,b10_1_a0p1_g0p1_lr5em6_e3,0.05938596709071206,0.05938596709071206,0.0593062323603738,0.03097258027545543,0.7187173074480084,0.6960655652561238,0.891170516252753,0.9914360150694848,0.9553699240088462,0.25871648330939934,0.4567343735131507,0.9877979551752408,0.5373629040249085,0.7687515661599907,mytofu_Llama-3.2-1B-Instruct_SatImp_none_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_none_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_pcgrad,b10_1_a0p1_g0p1_lr5em6_e3,0.058992165776451055,0.058992165776451055,0.058921057548047065,0.030749796704509606,0.7234494352790805,0.7026508991556459,0.891170516252753,0.9915041975677014,0.9553328849375248,0.2583611084992299,0.4564992717765396,0.9877605371177196,0.545264429275139,0.7689727757413592,mytofu_Llama-3.2-1B-Instruct_SatImp_pcgrad_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_pcgrad_b10_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_none,b5_1_a0p1_g0p1_lr5em6_e3,0.05659814508614878,0.05659814508614878,0.05653252389831858,0.0294513934325707,0.7232769333959119,0.7024375043488754,0.891170516252753,0.9918989785015583,0.9545415014028549,0.25804621236457026,0.4563152671151222,0.9877719899018605,0.5450039763598663,0.7688992749885479,mytofu_Llama-3.2-1B-Instruct_SatImp_none_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_none_b5_1_a0p1_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_pcgrad,b5_1_a0p5_g0p1_lr5em6_e3,0.05594664978338491,0.05594664978338491,0.05586685957319016,0.02911135792408607,0.7155692761711914,0.6903477781734498,0.891170516252753,0.9920041970908642,0.9556925900280475,0.250668937645969,0.4489116866345956,0.9870937538643678,0.5307811903166467,0.7719768216962307,mytofu_Llama-3.2-1B-Instruct_SatImp_pcgrad_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_pcgrad_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
SatImp_none,b5_1_a0p5_g0p1_lr5em6_e3,0.05310309831395253,0.05310309831395253,0.05303616462663636,0.027568881703558774,0.719525311771336,0.6957311558143499,0.891170516252753,0.9924671605229378,0.9558490574359894,0.2506893843790749,0.44928182152183166,0.987201705078284,0.5371407575034408,0.7723547077737948,mytofu_Llama-3.2-1B-Instruct_SatImp_none_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10,saves/unlearn_synthesis_ext_tuned/mytofu_Llama-3.2-1B-Instruct_SatImp_none_b5_1_a0p5_g0p1_lr5em6_e3_from_full_e10/evals_final/MYTOFU_SUMMARY.json
